index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
169,000593.SZ,593,大通燃气,四川,供气供热,四川大通燃气开发股份有限公司,主板,SZSE,19960312,N
170,000595.SZ,595,宝塔实业,宁夏,机械基件,宝塔实业股份有限公司,主板,SZSE,19960419,N
171,000596.SZ,596,古井贡酒,安徽,白酒,安徽古井贡酒股份有限公司,主板,SZSE,19960927,S
172,000597.SZ,597,东北制药,辽宁,化学制药,东北制药集团股份有限公司,主板,SZSE,19960523,S
173,000598.SZ,598,兴蓉环境,四川,水务,成都市兴蓉环境股份有限公司,主板,SZSE,19960529,S
174,000599.SZ,599,青岛双星,山东,汽车配件,青岛双星股份有限公司,主板,SZSE,19960430,N
175,000600.SZ,600,建投能源,河北,火力发电,河北建投能源投资股份有限公司,主板,SZSE,19960606,S
176,000601.SZ,601,韶能股份,广东,水力发电,广东韶能集团股份有限公司,主板,SZSE,19960830,N
177,000603.SZ,603,盛达资源,北京,铅锌,盛达金属资源股份有限公司,主板,SZSE,19960823,S
178,000605.SZ,605,渤海股份,北京,水务,渤海水业股份有限公司,主板,SZSE,19960913,N
179,000606.SZ,606,顺利办,青海,互联网,顺利办信息服务股份有限公司,主板,SZSE,19961004,N
180,000607.SZ,607,华媒控股,浙江,广告包装,浙江华媒控股股份有限公司,主板,SZSE,19960830,N
181,000608.SZ,608,阳光股份,广西,区域地产,阳光新业地产股份有限公司,主板,SZSE,19960919,N
182,000609.SZ,609,中迪投资,北京,区域地产,北京中迪投资股份有限公司,主板,SZSE,19961010,N
183,000610.SZ,610,西安旅游,陕西,旅游服务,西安旅游股份有限公司,主板,SZSE,19960926,N
184,000611.SZ,611,*ST天首,内蒙,纺织,内蒙古天首科技发展股份有限公司,主板,SZSE,19961008,N
185,000612.SZ,612,焦作万方,河南,铝,焦作万方铝业股份有限公司,主板,SZSE,19960926,N
186,000613.SZ,613,大东海A,海南,旅游服务,海南大东海旅游中心股份有限公司,主板,SZSE,19970128,N
187,000615.SZ,615,京汉股份,湖北,全国地产,京汉实业投资集团股份有限公司,主板,SZSE,19961016,N
188,000616.SZ,616,海航投资,辽宁,全国地产,海航投资集团股份有限公司,主板,SZSE,19961108,N
189,000617.SZ,617,中油资本,新疆,多元金融,中国石油集团资本股份有限公司,主板,SZSE,19961022,S
190,000619.SZ,619,海螺型材,安徽,其他建材,芜湖海螺型材科技股份有限公司,主板,SZSE,19961023,N
191,000620.SZ,620,新华联,北京,全国地产,新华联文化旅游发展股份有限公司,主板,SZSE,19961029,S
192,000622.SZ,622,恒立实业,湖南,汽车配件,恒立实业发展集团股份有限公司,主板,SZSE,19961107,N
193,000623.SZ,623,吉林敖东,吉林,化学制药,吉林敖东药业集团股份有限公司,主板,SZSE,19961028,S
194,000625.SZ,625,长安汽车,重庆,汽车整车,重庆长安汽车股份有限公司,主板,SZSE,19970610,S
195,000626.SZ,626,远大控股,江苏,商贸代理,远大产业控股股份有限公司,主板,SZSE,19961128,N
196,000627.SZ,627,天茂集团,湖北,保险,天茂实业集团股份有限公司,主板,SZSE,19961112,S
197,000628.SZ,628,高新发展,四川,园区开发,成都高新发展股份有限公司,主板,SZSE,19961118,N
198,000629.SZ,629,攀钢钒钛,四川,小金属,攀钢集团钒钛资源股份有限公司,主板,SZSE,19961115,S
199,000630.SZ,630,铜陵有色,安徽,铜,铜陵有色金属集团股份有限公司,主板,SZSE,19961120,S
200,000631.SZ,631,顺发恒业,吉林,区域地产,顺发恒业股份公司,主板,SZSE,19961122,N
201,000632.SZ,632,三木集团,福建,综合类,福建三木集团股份有限公司,主板,SZSE,19961121,N
202,000633.SZ,633,合金投资,新疆,综合类,新疆合金投资股份有限公司,主板,SZSE,19961112,N
203,000635.SZ,635,英力特,宁夏,化工原料,宁夏英力特化工股份有限公司,主板,SZSE,19961120,N
204,000636.SZ,636,风华高科,广东,元器件,广东风华高新科技股份有限公司,主板,SZSE,19961129,N
205,000637.SZ,637,茂化实华,广东,石油加工,茂名石化实华股份有限公司,主板,SZSE,19961114,N
206,000638.SZ,638,万方发展,吉林,软件服务,万方城镇投资发展股份有限公司,主板,SZSE,19961126,N
207,000639.SZ,639,西王食品,山东,食品,西王食品股份有限公司,主板,SZSE,19961126,N
208,000650.SZ,650,仁和药业,江西,中成药,仁和药业股份有限公司,主板,SZSE,19961210,S
209,000651.SZ,651,格力电器,广东,家用电器,珠海格力电器股份有限公司,主板,SZSE,19961118,S
210,000652.SZ,652,泰达股份,天津,批发业,天津泰达股份有限公司,主板,SZSE,19961128,N
211,000655.SZ,655,金岭矿业,山东,普钢,山东金岭矿业股份有限公司,主板,SZSE,19961128,N
212,000656.SZ,656,金科股份,重庆,区域地产,金科地产集团股份有限公司,主板,SZSE,19961128,S
213,000657.SZ,657,中钨高新,海南,小金属,中钨高新材料股份有限公司,主板,SZSE,19961205,S
214,000659.SZ,659,珠海中富,广东,广告包装,珠海中富实业股份有限公司,主板,SZSE,19961203,N
215,000661.SZ,661,长春高新,吉林,生物制药,长春高新技术产业(集团)股份有限公司,主板,SZSE,19961218,S
216,000662.SZ,662,天夏智慧,广西,软件服务,天夏智慧城市科技股份有限公司,主板,SZSE,19961216,N
217,000663.SZ,663,永安林业,福建,林业,福建省永安林业(集团)股份有限公司,主板,SZSE,19961206,N
218,000665.SZ,665,湖北广电,湖北,影视音像,湖北省广播电视信息网络股份有限公司,主板,SZSE,19961210,N
