trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
20160216,002103.SZ,广博股份,19.27,9.99,0.0,114532.48,24.0491,792967680.0,09:25:02,09:25:02,0,100.0,U
20160216,300499.SZ,高澜股份,36.01,9.99,0.0,23992.833,31.9377,191717584.0,09:25:05,09:25:05,0,100.0,U
20160216,300500.SZ,苏州设计,40.07,9.99,0.0,37844.272,17.7464,106664976.0,09:25:05,09:25:05,0,100.0,U
20160216,300501.SZ,海顺新材,42.21,10.01,0.0,39411.11,21.2078,119775096.0,09:25:05,09:25:05,0,100.0,U
20160216,601900.SH,南方传媒,9.71,9.97,0.0,119326.0,33.141,544162370.0,09:25:31,09:25:31,0,100.0,U
20160216,603377.SH,东方时尚,28.58,10.01,0.0,35321.823,20.0042,285859520.0,09:25:31,09:25:31,0,100.0,U
20160216,002358.SZ,森源电气,14.29,10.01,0.0,391.1471,1.4123,134839392.0,09:25:02,09:25:02,0,78.69015,U
20160216,300130.SZ,新国都,30.06,9.99,0.0,160.6537,1.5531,68814672.0,09:25:05,09:25:05,0,70.62288,U
20160216,002253.SZ,川大智胜,38.39,10.0,3.64,91.271,1.1593,56329876.0,09:30:14,09:30:14,0,70.54506,U
20160216,600288.SH,大恒科技,12.87,10.0,4.87,47.573,1.4246,80083288.0,09:32:03,09:32:03,0,69.95853,U
20160216,000155.SZ,*ST川化,7.1,5.03,1.48,47.9284,0.3545,11828820.0,09:25:02,09:33:15,4,68.33057,U
20160216,600789.SH,鲁抗医药,10.57,9.99,3.95,69.9024,1.5019,92325768.0,09:30:02,09:30:02,0,68.11534,U
20160216,002575.SZ,群兴玩具,14.48,10.03,3.57,15.7426,0.5351,44936752.0,09:45:27,09:45:27,0,68.03102,U
20160216,600774.SH,汉商集团,19.01,10.01,10.47,129.4103,4.1627,138030592.0,14:08:55,14:08:55,0,67.67916,U
20160216,600234.SH,山水文化,20.77,10.01,5.51,27.2281,1.224,51466628.0,09:35:08,09:35:08,0,67.274,U
20160216,600872.SH,中炬高新,11.77,10.0,5.89,79.6195,0.5724,53675052.0,09:31:33,09:31:33,0,67.10057,U
20160216,000520.SZ,长航凤凰,11.35,9.98,4.55,60.6311,1.0378,119218760.0,09:30:17,09:30:17,0,66.565,U
20160216,002423.SZ,中原特钢,13.22,9.98,4.33,57.8513,0.7832,48195428.0,09:30:05,09:30:14,1,66.494286,U
20160216,002431.SZ,棕榈园林,19.62,9.98,6.95,16.4293,0.7082,42133284.0,09:48:15,09:48:15,0,64.72834,U
20160216,600179.SH,黑化股份,13.62,10.02,7.27,16.3666,0.3637,19318186.0,10:12:24,10:12:24,0,64.38485,U
20160216,002417.SZ,*ST元达,14.64,5.02,3.95,29.9114,0.4774,15094133.0,10:51:39,10:51:39,0,64.06501,U
20160216,600515.SH,海航基础,15.53,9.99,8.64,17.0322,1.0504,68967224.0,10:20:10,10:20:10,0,63.11574,U
20160216,000018.SZ,神州长城,49.61,10.0,3.28,11.2134,2.0725,102528936.0,09:25:02,10:29:29,8,62.94496,U
20160216,600247.SH,*ST成城,15.5,5.01,4.81,24.2676,0.214,11160248.0,09:44:45,09:44:45,0,62.627464,U
20160216,600825.SH,新华传媒,8.6,9.97,8.82,59.0063,1.102,99029864.0,14:35:39,14:35:39,0,62.13573,U
20160216,300322.SZ,硕贝德,14.61,10.02,8.51,55.4962,0.6694,34902588.0,09:33:00,09:33:00,0,62.073093,U
20160216,000557.SZ,*ST广夏,5.68,4.99,4.81,18.5235,0.2826,9394368.0,14:33:20,14:33:20,0,62.056484,U
