trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
20160226,000982.SZ,中银绒业,5.61,10.0,0.0,23427.864,6.206,450490560.0,09:25:03,09:25:03,0,100.0,U
20160226,002582.SZ,好想你,20.79,10.0,0.0,4208.1806,22.6892,448784064.0,09:25:03,09:25:03,0,100.0,U
20160226,002788.SZ,鹭燕医药,47.6,10.01,0.0,12131.403,19.2853,294213216.0,09:25:00,09:25:00,0,100.0,U
20160226,603608.SH,天创时尚,25.0,9.99,0.0,3066.518,13.9919,244857632.0,09:25:31,09:25:31,0,100.0,U
20160226,601900.SH,南方传媒,20.81,9.99,0.0,307.0003,10.2795,361733408.0,09:25:31,09:25:31,0,75.74501,U
20160226,000629.SZ,攀钢钒钛,3.0,9.89,0.0,118.6589,2.1584,308693664.0,09:25:03,09:25:03,0,69.15306,U
20160226,600101.SH,明星电力,11.06,10.05,0.0,108.3757,2.4559,88053000.0,09:25:31,09:25:31,0,68.793144,U
20160226,600370.SH,三房巷,12.76,10.0,0.0,28.1061,1.5755,64111140.0,09:25:31,09:25:31,0,65.98371,U
20160226,000698.SZ,沈阳化工,6.45,10.07,4.95,38.6051,1.8442,51429228.0,09:31:13,09:31:13,0,64.00272,U
20160226,000807.SZ,云铝股份,7.63,9.94,8.65,37.4274,1.3726,161185888.0,10:46:19,10:46:19,0,60.161373,U
20160226,002406.SZ,远东传动,8.94,9.96,11.19,47.0085,4.5565,143292928.0,13:35:55,13:35:55,0,58.73867,U
20160226,600366.SH,宁波韵升,18.01,10.02,11.12,45.1851,2.3909,221548880.0,14:17:21,14:17:21,0,58.518055,U
20160226,600387.SH,海越股份,12.44,9.99,8.75,21.2797,0.6522,31294560.0,10:28:46,10:28:46,0,58.410583,U
20160226,600776.SH,东方通信,8.46,10.01,7.67,10.4874,0.4386,35470232.0,09:36:53,09:36:53,0,58.400673,U
20160226,002741.SZ,光华科技,33.56,10.0,9.05,15.3816,3.7827,166874528.0,09:30:39,09:57:08,1,57.6773,U
20160226,603099.SH,长白山,19.49,9.99,9.54,13.4731,1.4092,28198112.0,13:00:54,13:00:54,0,56.87777,U
20160226,300087.SZ,荃银高科,12.32,10.0,9.11,1.6336,0.3394,10574798.0,09:44:28,13:47:01,16,56.07033,U
20160226,603026.SH,石大胜华,33.46,9.99,9.99,6.3595,1.891,32066658.0,09:49:30,10:21:05,2,55.7405,U
20160226,600117.SH,西宁特钢,6.01,10.07,5.68,10.0474,0.6661,29672356.0,14:43:15,14:44:00,2,55.358047,U
20160226,603333.SH,明星电缆,8.98,10.05,10.66,6.3226,0.1316,6145624.5,14:49:21,14:49:21,0,54.97884,U
20160226,002408.SZ,齐翔腾达,12.42,10.01,8.33,29.0282,1.5552,143925456.0,10:07:05,10:10:23,1,54.650578,U
20160226,603128.SH,华贸物流,10.31,10.03,5.66,2.9386,0.2962,24687678.0,09:25:31,14:38:19,17,54.648666,U
20160226,000420.SZ,吉林化纤,8.28,9.96,7.7,22.2877,2.2511,59329900.0,13:46:25,14:16:54,5,54.641327,U
20160226,002626.SZ,金达威,17.6,10.0,8.13,3.9529,0.1642,16649512.0,09:59:26,14:05:41,22,52.273502,U
20160226,600869.SH,智慧能源,8.27,9.97,13.16,2.1725,0.1088,17822082.0,14:07:14,14:17:36,4,52.06269,U
