trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
20160229,000982.SZ,中银绒业,6.17,9.98,0.0,7467.446,5.8782,469290496.0,09:25:03,09:25:03,0,100.0,U
20160229,002788.SZ,鹭燕医药,52.36,10.0,0.0,883.9893,16.1562,271123008.0,09:25:00,09:25:00,0,95.93963,U
20160229,002582.SZ,好想你,22.87,10.0,0.0,52.651,6.1037,132808016.0,09:25:00,09:25:00,0,66.84278,U
20160229,603608.SH,天创时尚,27.5,10.0,0.0,49.8451,7.6521,147303728.0,09:25:32,09:25:32,0,66.744576,U
20160229,000629.SZ,攀钢钒钛,3.3,10.0,3.67,5.1221,0.4882,76797544.0,09:25:03,13:45:01,45,61.86662,U
20160229,002409.SZ,雅克科技,24.16,10.02,3.83,18.2484,1.4237,28386574.0,09:25:03,14:24:48,2,58.066017,U
20160229,002088.SZ,鲁阳节能,13.51,10.02,3.99,12.456,1.0396,28278444.0,09:30:22,09:58:50,7,57.307587,U
20160229,600101.SH,明星电力,12.17,10.04,7.78,0.6557,0.1448,5711381.0,09:34:04,14:54:22,4,57.29281,U
20160229,002285.SZ,世联行,12.56,9.98,4.9,17.162,1.0981,168403568.0,09:30:16,09:57:11,8,56.87111,U
20160229,600533.SH,栖霞建设,5.56,10.1,11.09,23.7927,1.3615,79485432.0,14:36:24,14:36:24,0,56.35735,U
20160229,603099.SH,长白山,21.44,10.01,12.52,0.5829,0.1293,2847253.5,11:08:48,14:09:26,47,52.544758,U
20160229,000732.SZ,泰禾集团,21.74,10.02,9.97,6.7287,0.064,14135087.0,11:18:54,14:36:58,7,50.706074,U
20160229,600595.SH,中孚实业,5.28,10.0,15.62,28.8727,1.5319,122530368.0,13:50:48,14:12:11,5,47.34387,U
20160229,002343.SZ,慈文传媒,44.62,-10.0,0.0,1585.8385,5.7807,393992320.0,09:25:03,09:25:03,0,100.0,D
20160229,300088.SZ,长信科技,12.63,-9.98,0.0,25078.085,10.3708,1277080450.0,09:25:00,09:25:00,0,100.0,D
20160229,300089.SZ,文化长城,35.58,-9.99,0.0,71307.86,19.9474,613986370.0,09:25:00,09:25:00,0,100.0,D
20160229,300162.SZ,雷曼股份,21.47,-10.02,0.0,6927.52,8.2185,373619456.0,09:25:06,09:25:06,0,100.0,D
20160229,601137.SH,博威合金,22.37,-9.98,0.0,1420.7863,2.2296,107235808.0,09:25:32,09:25:32,0,100.0,D
20160229,300499.SZ,高澜股份,56.84,-9.99,2.12,168.7858,13.7112,129916912.0,09:32:16,09:32:16,0,84.85858,D
20160229,603377.SH,东方时尚,45.1,-10.0,0.0,518.3075,14.0026,315758496.0,09:25:32,09:25:32,0,83.14076,D
20160229,002189.SZ,利达光电,29.44,-10.0,4.77,186.7072,4.9402,288740992.0,09:33:22,09:33:22,0,79.147736,D
20160229,600980.SH,北矿磁材,19.99,-10.0,4.32,169.5247,4.4788,116391376.0,09:31:13,09:31:13,0,77.856415,D
20160229,603128.SH,华贸物流,9.28,-9.99,3.59,151.1934,2.7975,209853456.0,09:30:43,09:30:43,0,76.66922,D
20160229,300380.SZ,安硕信息,40.87,-10.0,5.7,105.9314,6.2849,124117280.0,09:35:52,09:35:52,0,74.99314,D
20160229,000815.SZ,*ST美利,20.15,-5.0,4.01,46.7153,0.2334,14899615.0,09:39:10,09:39:10,0,70.673195,D
20160229,300480.SZ,光力科技,44.35,-10.0,7.1,100.4839,5.3743,54820900.0,09:36:37,09:36:37,0,68.048386,D
20160229,603003.SH,龙宇燃油,16.8,-10.02,7.5,137.0996,2.1659,73502600.0,09:32:23,09:35:09,1,66.31826,D
20160229,600301.SH,*ST南化,11.23,-4.99,5.33,115.3917,0.6042,15954460.0,09:42:14,09:45:45,4,66.23937,D
20160229,300443.SZ,金雷风电,152.51,-10.0,8.55,86.6151,4.2909,73686576.0,09:37:04,09:37:04,0,65.32605,D
20160229,002490.SZ,山东墨龙,8.49,-9.97,5.94,61.3692,2.3694,60333936.0,09:35:43,09:35:43,0,65.315384,D
20160229,600962.SH,*ST中鲁,12.9,-5.01,4.42,45.5348,0.2362,7740709.5,09:40:05,09:56:22,7,65.145294,D
20160229,600984.SH,*ST建机,7.86,-4.96,4.59,93.4563,0.5057,5626974.0,09:46:55,09:51:51,1,64.78092,D
20160229,300496.SZ,中科创达,170.6,-10.0,8.12,115.3305,4.4309,188978912.0,09:34:40,09:34:52,1,63.6346,D
20160229,300501.SZ,海顺新材,81.38,-10.0,1.68,251.8213,18.7754,204438272.0,09:30:40,09:30:40,0,63.62,D
20160229,600071.SH,*ST光学,20.06,-5.02,4.45,25.7499,0.1445,6884913.0,09:40:10,10:53:20,18,63.13222,D
20160229,002416.SZ,爱施德,17.1,-10.0,6.32,92.7828,1.41,233845936.0,09:34:49,09:36:04,2,63.02878,D
20160229,002417.SZ,*ST元达,13.94,-4.98,5.73,36.2804,0.4908,14775438.0,09:43:55,11:12:24,14,62.92258,D
20160229,600247.SH,*ST成城,13.65,-5.01,5.36,31.2624,0.3441,15802318.0,09:40:10,11:11:54,7,62.783443,D
20160229,000677.SZ,*ST海龙,6.77,-5.05,5.61,24.3281,0.3095,18102940.0,09:46:59,10:08:30,22,61.838284,D
20160229,000659.SZ,*ST中富,3.65,-4.95,3.65,3.6933,0.0543,2547503.0,09:40:19,14:08:20,66,61.722046,D
20160229,000058.SZ,深 赛 格,10.54,-9.99,4.36,244.0762,2.7653,156894416.0,09:30:46,09:30:46,0,60.97826,D
20160229,600732.SH,*ST新梅,5.74,-4.97,5.3,12.0725,0.1751,4485373.5,09:46:16,11:26:21,29,60.915997,D
20160229,600444.SH,*ST国通,16.24,-4.97,5.03,215.9662,0.7032,11991616.0,09:46:40,09:46:40,0,60.205162,D
20160229,600982.SH,宁波热电,5.5,-9.98,6.22,13.7325,0.6095,22664670.0,10:31:37,11:29:57,30,60.18372,D
20160229,002226.SZ,江南化工,8.42,-10.04,7.69,27.8271,1.4003,93263104.0,09:36:52,10:15:42,16,60.16272,D
20160229,300438.SZ,鹏辉能源,85.23,-10.0,6.62,64.5275,3.2549,58256328.0,09:46:55,09:47:08,1,59.995495,D
20160229,000657.SZ,中钨高新,13.01,-9.97,7.89,27.6971,1.5022,47994672.0,09:39:40,11:07:54,56,59.954826,D
20160229,600217.SH,*ST秦岭,8.22,-4.97,6.01,7.0562,0.0966,5247599.0,09:40:59,13:41:26,29,59.700455,D
20160229,300182.SZ,捷成股份,15.89,-10.02,6.23,57.9895,0.6513,61426292.0,09:34:10,09:35:28,3,59.601513,D
20160229,601718.SH,际华集团,8.97,-10.03,3.91,33.5518,0.5476,189460112.0,09:33:14,09:36:29,2,59.47256,D
20160229,600644.SH,*ST乐电,7.28,-4.96,6.14,4.9011,0.1063,2527164.8,09:47:41,13:32:05,26,59.355423,D
20160229,300253.SZ,卫宁健康,26.89,-10.01,6.56,7.9817,0.2811,28735944.0,09:37:37,13:30:07,28,59.252224,D
20160229,002292.SZ,奥飞动漫,33.97,-9.99,7.63,67.4157,1.8957,426250432.0,09:35:07,09:37:13,2,59.206352,D
20160229,600146.SH,商赢环球,21.89,-9.99,2.71,17.2396,0.7639,33444132.0,09:38:29,10:21:31,10,59.05215,D
20160229,300197.SZ,铁汉生态,12.78,-10.0,4.15,31.6652,0.5624,31672980.0,09:38:01,10:15:03,17,59.044643,D
20160229,300500.SZ,苏州设计,67.95,-10.0,1.26,205.0279,15.7526,160558576.0,09:25:06,09:30:52,1,59.04,D
20160229,300429.SZ,强力新材,78.08,-10.0,7.17,11.5924,0.237,3700992.0,09:45:28,13:05:47,14,59.00109,D
20160229,002425.SZ,凯撒股份,18.52,-10.01,8.65,24.6876,0.3334,23393242.0,09:46:16,09:46:16,0,58.83543,D
20160229,600405.SH,动力源,12.17,-9.99,7.77,13.8569,0.8287,42749888.0,13:35:41,13:35:41,0,58.65712,D
20160229,000611.SZ,*ST蒙发,7.16,-5.04,4.11,25.1479,0.4283,9785479.0,09:45:25,10:21:15,20,58.426205,D
20160229,002462.SZ,嘉事堂,31.66,-10.01,9.15,24.2555,0.3136,19510474.0,13:37:52,13:37:52,0,58.291233,D
20160229,002273.SZ,水晶光电,30.87,-10.0,8.13,60.0889,1.9195,211535328.0,09:36:22,09:36:34,1,57.974865,D
20160229,600242.SH,*ST中昌,10.25,-5.0,5.56,32.8287,0.3087,8457275.0,09:47:50,11:07:47,18,57.7383,D
20160229,000403.SZ,ST生化,24.75,-4.99,4.95,25.4899,0.5829,27022372.0,09:45:19,13:27:15,36,57.62814,D
20160229,603017.SH,中衡设计,31.14,-10.0,9.71,72.1378,1.3879,25831876.0,10:00:13,10:06:49,1,57.573177,D
20160229,300457.SZ,赢合科技,52.16,-9.99,9.2,64.2946,3.0958,47232080.0,09:36:55,09:45:25,6,57.38425,D
20160229,600091.SH,*ST明科,8.84,-4.95,4.84,20.1255,0.1565,4655144.0,09:41:35,11:26:46,8,57.18037,D
20160229,000909.SZ,数源科技,11.47,-9.97,7.38,44.7019,0.7758,26161900.0,09:54:44,10:13:18,4,57.128975,D
20160229,002504.SZ,弘高创意,24.57,-10.0,7.11,40.2251,3.6956,125760784.0,09:37:31,09:45:10,6,57.097298,D
20160229,600610.SH,中毅达,15.71,-9.97,4.99,16.0389,1.9713,90036272.0,09:40:20,11:11:09,41,56.71246,D
20160229,002741.SZ,光华科技,30.2,-10.01,8.34,48.7808,5.905,234416240.0,09:32:37,09:35:22,1,56.638084,D
20160229,300073.SZ,当升科技,24.18,-10.01,6.44,29.2081,1.453,55860276.0,09:37:22,11:12:15,18,56.553467,D
20160229,000557.SZ,*ST广夏,5.39,-4.94,4.94,13.9851,0.1885,5945062.0,09:46:13,11:12:45,60,56.467934,D
20160229,002205.SZ,国统股份,18.37,-10.0,11.12,24.2623,1.026,21891070.0,13:23:36,13:23:36,0,56.35753,D
20160229,002618.SZ,丹邦科技,27.44,-10.0,6.03,22.7654,0.4909,24602924.0,09:48:17,13:02:59,23,56.271084,D
20160229,000059.SZ,*ST华锦,5.89,-5.0,4.68,9.4336,0.1406,11592244.0,09:37:43,11:24:45,52,56.270386,D
20160229,000799.SZ,*ST酒鬼,12.88,-5.01,5.01,11.9944,0.3095,8937793.0,09:45:55,13:01:14,50,56.204914,D
20160229,000590.SZ,*ST古汉,17.41,-5.02,5.4,14.5307,0.1145,4449125.5,09:58:41,13:05:14,3,56.058796,D
20160229,000068.SZ,*ST华赛,8.67,-5.04,4.93,9.7521,0.08,6218020.0,09:57:05,13:34:37,24,56.04921,D
20160229,600288.SH,大恒科技,12.65,-9.96,8.19,40.7608,1.827,100948632.0,09:46:35,09:46:50,1,55.977425,D
20160229,600779.SH,*ST水井,9.61,-5.04,5.63,15.5785,0.126,5913513.5,09:48:51,11:22:15,19,55.934147,D
20160229,002224.SZ,三 力 士,16.52,-9.97,8.07,38.9219,1.5801,121761040.0,09:58:59,10:22:57,13,55.901196,D
20160229,600311.SH,ST荣华,5.14,-4.99,5.73,15.863,0.2436,8334407.0,09:57:12,13:28:49,23,55.86848,D
20160229,002536.SZ,西泵股份,45.32,-10.01,5.88,15.3162,0.4124,16385446.0,09:50:05,13:01:41,8,55.67224,D
20160229,600283.SH,钱江水利,14.13,-10.0,5.41,10.3732,0.5358,25431258.0,09:36:34,11:29:36,60,55.65411,D
20160229,600163.SH,*ST闽能,5.53,-4.98,4.64,2.4316,0.0204,814569.0,09:47:10,13:24:14,26,55.60418,D
20160229,000151.SZ,中成股份,18.9,-10.0,6.67,21.3642,0.9056,45622824.0,09:31:55,13:05:17,28,55.5117,D
20160229,600691.SH,*ST阳化,3.18,-5.07,5.67,11.3884,0.1296,7239098.5,09:40:14,11:27:51,65,55.475315,D
20160229,600693.SH,东百集团,11.58,-10.02,9.95,4.1845,0.1151,4564025.5,09:59:37,13:00:50,64,55.474205,D
20160229,300130.SZ,新国都,25.22,-9.99,11.99,23.3524,1.1689,43453200.0,13:00:08,13:00:08,0,55.40368,D
20160229,300268.SZ,万福生科,15.28,-10.01,7.24,26.0457,0.5902,12084830.0,09:57:59,11:26:54,15,55.394077,D
20160229,600476.SH,湘邮科技,30.31,-10.01,9.71,49.7546,1.0407,50809624.0,09:46:16,10:30:17,20,55.317497,D
20160229,002263.SZ,大 东 南,6.35,-9.93,5.82,10.7227,0.6458,34667496.0,09:36:22,13:14:42,99,55.28456,D
20160229,300165.SZ,天瑞仪器,15.32,-9.99,8.11,31.3192,1.475,31274446.0,13:20:12,13:21:48,5,55.095665,D
20160229,600838.SH,上海九百,12.73,-9.97,6.01,9.957,0.7141,36440808.0,09:35:44,11:29:16,33,55.021404,D
20160229,300279.SZ,和晶科技,26.54,-10.0,8.34,30.6425,0.8848,13429798.0,09:46:10,13:15:36,19,54.768486,D
20160229,002286.SZ,保龄宝,14.87,-9.99,6.11,7.3624,0.6064,23531938.0,09:36:31,13:56:44,21,54.656563,D
20160229,600408.SH,*ST安泰,4.72,-5.03,5.84,4.8869,0.0566,2689267.0,09:54:01,13:18:13,19,54.65152,D
20160229,300158.SZ,振东制药,14.31,-10.0,7.23,18.0839,0.217,8886482.0,09:39:46,11:14:33,30,54.589237,D
20160229,300141.SZ,和顺电气,19.54,-10.0,8.01,25.1917,1.1792,24473246.0,09:36:52,10:13:30,23,54.568134,D
20160229,002778.SZ,高科石化,34.98,-10.01,7.38,18.1595,2.4524,19129758.0,09:57:23,13:14:57,11,54.55857,D
20160229,600069.SH,*ST银鸽,3.78,-5.03,5.78,2.4281,0.0313,976411.8,09:53:46,14:13:31,10,54.46437,D
20160229,300469.SZ,信息发展,74.34,-10.0,6.85,12.596,0.9387,11653835.0,09:45:25,13:03:14,41,54.456535,D
20160229,002341.SZ,新纶科技,12.96,-10.0,7.57,19.8008,0.8923,29653776.0,09:38:46,13:25:03,25,54.454693,D
20160229,000810.SZ,创维数字,12.29,-9.96,7.99,24.0331,0.688,36269340.0,09:39:25,10:14:15,23,54.44771,D
20160229,000927.SZ,*ST夏利,5.38,-4.95,6.01,3.8772,0.0153,1308954.0,09:46:13,13:28:06,43,54.378483,D
20160229,300491.SZ,通合科技,53.35,-10.0,7.0,10.6628,2.1902,23369486.0,09:36:19,11:21:18,21,54.17579,D
20160229,300368.SZ,汇金股份,28.91,-9.99,8.28,23.1754,1.6778,37078000.0,09:45:34,11:25:12,43,54.121433,D
20160229,600963.SH,岳阳林纸,5.9,-9.92,6.56,6.4395,0.2982,18354416.0,09:37:39,13:29:09,25,54.098866,D
20160229,002229.SZ,鸿博股份,20.25,-10.0,7.69,17.0846,1.3537,56371564.0,09:39:19,13:59:38,31,54.08614,D
20160229,600793.SH,ST宜纸,22.36,-5.01,6.07,1.1465,0.0133,313040.0,09:46:01,14:03:49,11,54.04532,D
20160229,300036.SZ,超图软件,27.77,-10.01,6.84,8.2071,0.4769,20203092.0,09:45:58,13:03:29,38,54.00456,D
20160229,600783.SH,鲁信创投,23.3,-10.0,7.65,16.1137,0.335,58100156.0,09:46:05,11:25:36,22,53.978115,D
20160229,600608.SH,*ST沪科,7.64,-4.98,6.34,2.6219,0.0499,1214760.0,09:47:35,13:58:44,34,53.924683,D
20160229,002785.SZ,万里石,23.01,-10.01,8.17,19.563,2.6319,30280170.0,09:57:26,13:14:24,19,53.917896,D
20160229,603299.SH,井神股份,16.77,-9.98,6.87,7.0495,1.1251,16981772.0,13:08:26,13:16:13,7,53.891205,D
20160229,002602.SZ,世纪华通,21.82,-9.98,7.26,11.2777,0.2961,36572500.0,09:37:31,13:26:57,28,53.88258,D
20160229,000972.SZ,新中基,6.83,-10.01,8.17,20.0073,0.8207,43232112.0,09:47:02,11:21:03,36,53.871765,D
20160229,300275.SZ,梅安森,14.78,-9.99,8.47,22.6813,0.8443,13484740.0,09:49:44,11:27:49,7,53.840343,D
20160229,300209.SZ,天泽信息,20.9,-9.99,7.49,13.0719,0.4598,19540810.0,09:39:46,11:13:09,26,53.840187,D
20160229,600053.SH,九鼎投资,37.62,-10.0,7.61,13.9989,0.2689,43858860.0,09:38:34,13:00:06,52,53.803333,D
20160229,300448.SZ,浩云科技,61.04,-10.0,9.23,29.4844,1.4969,18273668.0,13:02:59,13:29:13,8,53.793278,D
20160229,002702.SZ,海欣食品,17.96,-9.97,7.27,9.5372,0.5695,28923448.0,13:03:38,13:28:34,6,53.712196,D
20160229,000016.SZ,深康佳Ａ,4.91,-9.91,6.61,2.8875,0.1473,11549822.0,09:35:40,14:02:23,49,53.686115,D
20160229,300126.SZ,锐奇股份,10.4,-10.03,8.39,20.1556,1.1393,24989192.0,09:40:13,11:23:30,25,53.68252,D
20160229,300230.SZ,永利股份,22.55,-9.98,8.14,17.9919,0.4253,10136067.0,09:49:59,13:07:41,48,53.68045,D
20160229,002103.SZ,广博股份,26.97,-10.01,11.78,3.7682,0.3787,17476884.0,10:01:35,14:52:08,13,53.615753,D
20160229,300364.SZ,中文在线,81.19,-10.0,7.54,10.9,0.5205,28406108.0,09:46:16,11:28:43,23,53.576027,D
20160229,002440.SZ,闰土股份,14.2,-10.01,6.59,1.2753,0.0338,2756319.2,09:36:52,14:52:56,39,53.53922,D
20160229,300229.SZ,拓尔思,19.94,-9.98,9.3,27.8663,0.6728,55787616.0,09:46:46,13:09:15,7,53.520267,D
20160229,600218.SH,全柴动力,8.25,-10.03,8.83,22.6697,0.9738,29624538.0,09:39:09,13:00:10,22,53.485657,D
20160229,002722.SZ,金轮股份,27.88,-10.01,7.81,11.9178,1.7711,22585588.0,09:36:52,13:00:08,40,53.47033,D
20160229,601199.SH,江南水务,15.33,-9.98,6.87,3.3369,0.0919,6590121.5,09:37:59,14:42:25,28,53.468285,D
20160229,300222.SZ,科大智能,16.04,-9.99,9.03,24.4043,0.8474,35789156.0,09:44:58,10:08:36,2,53.452797,D
20160229,300262.SZ,巴安水务,15.96,-9.98,7.22,6.4065,0.4924,17803188.0,09:39:25,14:01:02,19,53.44528,D
20160229,600446.SH,金证股份,24.82,-10.01,7.9,13.1115,0.4152,82581248.0,09:57:07,13:17:18,14,53.431908,D
20160229,002240.SZ,威华股份,8.57,-9.98,8.09,14.1238,0.9252,27743942.0,09:38:19,13:15:57,48,53.368637,D
20160229,300465.SZ,高伟达,42.93,-10.0,9.33,26.1906,1.1993,17164702.0,13:04:32,13:05:59,1,53.34902,D
20160229,300278.SZ,华昌达,14.68,-9.99,8.09,14.0381,0.528,17335362.0,10:32:34,13:28:52,24,53.340206,D
20160229,300379.SZ,东方通,64.36,-10.0,8.03,13.1138,0.5022,20510888.0,09:37:31,11:11:57,28,53.306484,D
20160229,300031.SZ,宝通科技,19.09,-10.0,8.06,13.278,0.502,21356594.0,09:44:10,13:33:40,16,53.2929,D
20160229,600650.SH,锦江投资,35.42,-9.99,8.06,12.7876,0.5738,79383792.0,09:37:44,13:01:41,16,53.24745,D
20160229,002075.SZ,沙钢股份,10.8,-10.0,7.08,2.9643,0.1036,24701112.0,09:35:46,14:51:50,82,53.22161,D
20160229,002496.SZ,辉丰股份,17.05,-9.98,9.5,26.1431,1.1773,46047616.0,09:46:10,11:09:03,16,53.173176,D
20160229,300048.SZ,合康变频,12.62,-9.99,8.49,16.3919,0.3464,13616980.0,10:34:04,13:00:29,16,53.166508,D
20160229,300119.SZ,瑞普生物,14.31,-10.0,8.24,13.8236,0.4198,12230586.0,09:48:38,11:15:39,40,53.16335,D
20160229,600297.SH,广汇汽车,12.84,-10.02,8.06,12.0101,0.3611,24341122.0,09:36:44,11:13:04,23,53.15907,D
20160229,300280.SZ,南通锻压,24.92,-10.0,7.15,2.7436,0.1321,4214844.0,09:38:01,14:52:44,17,53.130966,D
20160229,002601.SZ,佰利联,37.22,-10.01,7.91,10.065,0.6329,38751456.0,09:46:22,13:30:01,28,53.128143,D
20160229,002175.SZ,东方网络,38.9,-10.0,7.01,1.2211,0.0823,6400295.0,09:37:01,14:52:38,41,53.116222,D
20160229,600679.SH,上海凤凰,15.05,-9.99,8.07,11.6593,0.3394,9296551.0,09:46:46,11:26:46,44,53.112904,D
20160229,601311.SH,骆驼股份,13.55,-9.97,9.57,26.3657,0.3032,34859300.0,13:55:49,14:11:41,2,53.08173,D
20160229,300467.SZ,迅游科技,54.54,-10.0,9.55,25.1782,1.3166,28723492.0,09:46:49,09:56:02,19,53.033646,D
20160229,002368.SZ,太极股份,29.64,-9.99,9.93,28.8509,0.5663,60666320.0,13:24:09,13:30:01,3,52.983406,D
20160229,300013.SZ,新宁物流,13.12,-10.01,8.37,12.98,0.6388,15085087.0,09:47:53,13:00:05,18,52.95994,D
20160229,002355.SZ,兴民钢圈,18.23,-10.02,8.34,12.5663,0.6454,40308060.0,09:39:01,10:57:50,25,52.9489,D
20160229,000892.SZ,星美联合,14.67,-10.0,8.16,10.9377,0.3013,13565628.0,09:38:46,11:26:21,84,52.948833,D
20160229,600623.SH,双钱股份,17.94,-9.98,8.08,9.9356,0.1293,14988063.0,09:57:12,13:28:19,32,52.92002,D
20160229,002284.SZ,亚太股份,13.68,-10.0,8.42,12.9179,0.7986,74936856.0,09:44:58,11:21:09,55,52.91172,D
20160229,600448.SH,华纺股份,6.15,-9.96,7.91,7.8275,0.5476,13449571.0,09:36:19,11:26:51,47,52.900124,D
20160229,600678.SH,四川金顶,10.21,-9.96,8.2,10.4688,0.7676,27352008.0,13:01:55,13:17:58,5,52.885258,D
20160229,300399.SZ,京天利,31.03,-10.01,8.61,14.3589,0.7682,10593394.0,09:57:02,13:19:03,18,52.864296,D
20160229,000532.SZ,力合股份,16.3,-9.99,7.79,6.3441,0.3486,19515060.0,09:38:01,14:03:02,58,52.86184,D
20160229,300103.SZ,达刚路机,14.64,-10.02,8.97,17.9711,0.6723,8308639.5,09:59:17,11:26:42,12,52.860725,D
20160229,600074.SH,保千里,11.75,-10.03,7.5,3.2868,0.1363,14345316.0,09:45:50,14:41:40,17,52.835495,D
20160229,002502.SZ,骅威股份,24.6,-9.99,8.78,15.0775,0.7913,35766040.0,09:45:58,14:01:08,11,52.76731,D
20160229,300131.SZ,英唐智控,13.26,-9.98,8.96,16.7023,0.751,25624234.0,09:57:17,11:29:49,34,52.747784,D
20160229,600652.SH,游久游戏,15.94,-9.99,8.53,12.0353,0.4959,48742908.0,09:46:20,13:05:36,19,52.698322,D
20160229,300322.SZ,硕贝德,12.68,-10.01,10.22,28.7563,0.7777,35190296.0,13:50:44,14:03:32,8,52.694515,D
20160229,002751.SZ,易尚展示,81.25,-10.0,7.48,1.5426,0.1797,5127281.0,13:20:42,14:42:43,22,52.68324,D
20160229,002407.SZ,多氟多,55.83,-10.0,7.45,0.9561,0.127,13254657.0,09:41:07,14:52:20,32,52.651962,D
20160229,300493.SZ,润欣科技,40.05,-10.0,8.2,7.7675,1.0005,12020687.0,09:56:32,13:27:33,19,52.62677,D
20160229,600735.SH,新华锦,12.39,-10.02,8.86,14.552,0.4114,19164048.0,09:57:27,13:05:51,8,52.615772,D
20160229,600992.SH,贵绳股份,9.7,-10.02,10.3,28.8547,0.4687,11142390.0,14:11:26,14:13:16,1,52.6089,D
20160229,002228.SZ,合兴包装,14.99,-9.97,8.89,14.4844,0.5152,26836386.0,09:57:26,11:30:04,11,52.584198,D
20160229,300233.SZ,金城医药,19.06,-10.01,7.74,2.8645,0.0745,3206311.2,09:48:44,13:31:22,28,52.550175,D
20160229,603997.SH,继峰股份,17.42,-10.02,7.59,1.3557,0.0492,977279.44,14:20:07,14:52:42,15,52.548027,D
20160229,000587.SZ,金叶珠宝,16.1,-10.01,8.22,7.4826,0.1883,16891622.0,09:57:02,14:19:45,16,52.537674,D
20160229,600433.SH,冠豪高新,8.36,-10.01,7.97,4.9547,0.134,13335453.0,10:32:52,14:08:00,36,52.532173,D
20160229,000973.SZ,佛塑科技,8.01,-10.0,8.54,10.2026,0.7178,44410148.0,09:46:25,13:30:58,76,52.516148,D
20160229,002782.SZ,可立克,27.65,-9.99,7.65,1.2444,0.1744,2054395.0,13:42:10,14:52:50,13,52.483162,D
