trade_date,ts_code,name,close,pct_chg,amp,fc_ratio,fl_ratio,fd_amount,first_time,last_time,open_times,strth,limit
20160225,000982.SZ,中银绒业,5.1,9.91,0.0,3240.8726,8.0984,534419648.0,09:25:06,09:25:06,0,100.0,U
20160225,002582.SZ,好想你,18.9,10.01,0.0,9754.577,25.6001,460326720.0,09:25:00,09:25:00,0,100.0,U
20160225,002788.SZ,鹭燕医药,43.27,9.99,0.0,7333.4854,19.4622,269902816.0,09:25:06,09:25:06,0,100.0,U
20160225,300500.SZ,苏州设计,78.09,10.0,0.0,1081.2773,14.9262,174838512.0,09:25:06,09:25:06,0,100.0,U
20160225,601900.SH,南方传媒,18.92,10.0,0.0,1450.2672,13.8927,444480320.0,09:25:30,09:25:30,0,100.0,U
20160225,603608.SH,天创时尚,22.73,10.02,0.0,4162.0728,16.0134,254789152.0,09:25:30,09:25:30,0,100.0,U
20160225,300501.SZ,海顺新材,82.26,10.0,0.0,519.7315,13.9993,154081376.0,09:25:06,09:25:06,0,83.190605,U
20160225,002263.SZ,大 东 南,6.78,10.06,0.0,21.8318,1.2704,72814744.0,09:25:00,09:25:00,0,65.764114,U
20160225,300499.SZ,高澜股份,70.17,10.0,3.39,15.8669,6.3999,74862192.0,09:25:06,13:10:41,6,63.296688,U
20160225,002741.SZ,光华科技,30.51,9.99,6.49,4.5368,1.5381,61687192.0,09:32:15,14:44:51,19,59.04059,U
20160225,300438.SZ,鹏辉能源,103.13,10.01,4.41,24.8021,5.5753,120746248.0,09:30:27,13:36:12,5,58.170204,U
20160225,600980.SH,北矿磁材,23.5,10.02,8.66,5.0084,1.0048,30698050.0,10:16:18,14:50:03,38,56.891087,U
20160225,002286.SZ,保龄宝,17.55,10.03,9.97,4.1178,1.4456,66203864.0,09:25:00,14:49:37,58,55.514065,U
20160225,600869.SH,智慧能源,7.52,9.94,7.46,1.1733,0.0546,8124660.5,09:35:27,14:47:18,61,52.66006,U
20160225,603026.SH,石大胜华,30.42,10.02,9.69,4.3219,1.644,25345366.0,09:52:14,14:48:53,30,50.82439,U
20160225,300087.SZ,荃银高科,11.2,10.02,16.11,9.814,1.3098,37102776.0,14:53:01,14:53:01,0,49.93689,U
20160225,603377.SH,东方时尚,55.68,10.0,9.64,0.7969,0.4881,13588871.0,10:28:09,14:55:09,4,15.464095,U
20160225,300443.SZ,金雷风电,186.3,-10.0,0.0,382.3137,10.5968,222293344.0,09:25:00,09:25:00,0,78.38098,D
20160225,600071.SH,*ST光学,22.23,-5.0,4.57,97.793,0.6387,33716440.0,10:36:41,10:44:32,1,65.241234,D
20160225,000590.SZ,*ST古汉,18.73,-5.02,5.58,42.3832,0.3334,13938884.0,13:00:01,13:00:01,0,63.67499,D
20160225,000659.SZ,*ST中富,4.04,-4.94,4.71,22.3846,0.282,14646822.0,11:24:45,11:24:45,0,62.54256,D
20160225,000815.SZ,*ST美利,22.33,-4.98,4.77,52.0649,0.5526,39088532.0,10:55:49,10:56:16,3,60.464115,D
20160225,600793.SH,ST宜纸,22.5,-4.98,7.18,20.9094,0.346,8196750.0,14:11:58,14:11:58,0,59.928246,D
20160225,000018.SZ,神州长城,45.16,-10.0,8.63,32.4103,2.1938,98793864.0,11:22:48,11:22:48,0,59.72072,D
20160225,002567.SZ,唐人神,11.56,-9.97,3.43,25.9629,1.7291,83924104.0,09:25:06,09:47:49,9,59.252743,D
20160225,000677.SZ,*ST海龙,7.51,-4.94,4.05,31.8791,0.709,46000568.0,09:53:38,10:51:34,21,59.17336,D
20160225,000526.SZ,银润投资,52.65,-10.0,10.79,48.5324,0.9768,49473048.0,11:26:36,11:26:36,0,59.112076,D
20160225,002779.SZ,中坚科技,51.8,-9.99,7.21,7.3253,1.3294,15149583.0,14:11:08,14:11:08,0,58.588997,D
20160225,600217.SH,*ST秦岭,9.1,-5.01,4.7,31.4526,0.3811,22917140.0,11:12:26,11:23:17,8,58.464317,D
20160225,002417.SZ,*ST元达,15.44,-4.98,4.37,27.8134,0.7598,25336128.0,11:12:29,11:22:30,7,58.449333,D
20160225,000557.SZ,*ST广夏,5.92,-4.98,2.73,11.0537,0.395,13684015.0,09:25:03,11:22:51,49,58.39512,D
20160225,600444.SH,*ST国通,17.98,-5.02,4.91,31.5424,0.345,6514154.0,13:00:47,13:08:39,2,58.261494,D
20160225,002193.SZ,山东如意,13.27,-9.97,9.91,30.8391,0.5799,12307753.0,14:13:17,14:13:17,0,58.202904,D
20160225,300422.SZ,博世科,31.12,-10.01,8.18,13.5128,0.3277,7067352.0,14:21:35,14:21:35,0,58.187656,D
20160225,600962.SH,*ST中鲁,14.29,-4.99,4.45,24.7101,0.305,11070320.0,10:17:18,10:50:08,12,58.03626,D
20160225,000403.SZ,ST生化,26.55,-5.01,5.55,34.8908,0.6584,32741858.0,13:00:16,13:32:33,24,57.972,D
20160225,300083.SZ,劲胜精密,32.0,-9.99,9.14,19.4878,1.5746,101794144.0,13:00:52,13:06:23,9,57.887516,D
20160225,600984.SH,*ST建机,8.63,-4.96,4.96,27.9708,0.705,8613103.0,10:45:52,11:10:16,3,57.872326,D
20160225,600781.SH,辅仁药业,16.89,-10.02,9.64,23.4436,0.6525,19572622.0,14:22:59,14:22:59,0,57.736988,D
20160225,000586.SZ,汇源通信,16.83,-10.0,10.05,26.5053,0.6506,21181934.0,13:59:31,13:59:31,0,57.633064,D
20160225,600091.SH,*ST明科,9.72,-4.99,5.18,27.7613,0.3705,12120578.0,11:26:18,13:55:50,15,57.614655,D
20160225,600247.SH,*ST成城,15.13,-5.02,5.4,29.8334,0.3804,19361180.0,11:12:11,11:22:32,10,57.60236,D
20160225,600178.SH,东安动力,8.11,-9.99,8.44,9.6289,0.2985,11185749.0,14:10:37,14:10:37,0,57.53781,D
20160225,300061.SZ,康耐特,21.0,-9.99,8.44,8.9982,0.5779,17416624.0,11:26:54,13:08:29,20,57.488712,D
20160225,000611.SZ,*ST蒙发,7.92,-5.04,4.92,23.7654,0.3751,9479448.0,11:13:53,11:22:06,11,57.475296,D
20160225,000799.SZ,*ST酒鬼,14.13,-4.98,3.7,10.362,0.5926,18772384.0,11:28:30,14:10:02,40,57.365826,D
20160225,300276.SZ,三丰智能,19.04,-9.98,9.22,15.1717,0.6742,24923304.0,14:12:08,14:12:08,0,57.330883,D
