ts_code,name,trade_date,open,high,low,close,pre_close,change,pct_chg,amount,is_ST,label_max,label_min,label_final,is_limit_up
000061.SZ,农产品,20190821,5.2,5.33,5.18,5.3,5.18,0.1200000000000001,2.3166,52882.955,0,0.06415094339622639,-0.015094339622641523,1,False
000063.SZ,中兴通讯,20190814,29.47,29.5,28.57,28.67,28.32,0.3500000000000014,1.2359,2567049.334,0,0.05929543076386464,-0.058249040809208286,0,False
000063.SZ,中兴通讯,20190820,30.04,30.37,29.7,29.85,29.96,-0.1099999999999994,-0.3672,2940578.38,0,0.011390284757118922,-0.06867671691792297,0,False
000066.SZ,中国长城,20190904,12.5,12.92,12.12,12.61,12.63,-0.0200000000000013,-0.1584,3189044.053,0,0.06661379857256144,-0.030134813639968203,0,False
000066.SZ,中国长城,20191101,14.78,15.26,14.65,15.08,14.48,0.5999999999999996,4.1436,2205641.526,0,0.03713527851458889,-0.023209549071618013,0,False
000078.SZ,海王生物,20190819,3.38,3.38,3.29,3.36,3.2,0.1599999999999997,5.0,94179.993,0,0.11904761904761903,-0.011904761904761916,1,False
000078.SZ,海王生物,20190823,3.56,3.68,3.51,3.61,3.58,0.0299999999999998,0.838,127423.284,0,0.04432132963988924,-0.05817174515235456,0,False
000078.SZ,海王生物,20190911,3.66,3.68,3.56,3.58,3.64,-0.06,-1.6484,76610.117,0,0.013966480446927325,-0.044692737430167634,0,False
000078.SZ,海王生物,20191014,3.49,3.54,3.46,3.49,3.44,0.0500000000000002,1.4535,55192.298,0,0.005730659025787843,-0.0573065902578797,0,False
000096.SZ,广聚能源,20191213,11.36,11.67,11.27,11.56,11.36,0.200000000000001,1.7606,27846.884,0,0.012110726643598512,-0.045847750865052,0,False
000099.SZ,中信海直,20190715,7.24,7.47,7.2,7.45,7.27,0.1800000000000006,2.4759,60714.268,0,0.004026845637583926,-0.04832214765100675,0,False
000099.SZ,中信海直,20190819,6.92,7.12,6.88,7.05,6.67,0.3799999999999999,5.6972,68198.093,0,0.15886524822695036,-0.008510638297872285,1,False
000099.SZ,中信海直,20190820,7.02,7.22,6.99,7.1,7.05,0.0499999999999998,0.7092,58468.807,0,0.15070422535211273,0.014084507042253596,1,False
000100.SZ,TCL科技,20190820,3.5,3.5,3.41,3.42,3.49,-0.0700000000000002,-2.0057,768674.906,0,0.008771929824561476,-0.05263157894736834,0,False
