ts_code,trade_date,open,ts_date_id,label_final,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma5_5,ma10_5,ma13_5,ma21_5,ma30_5,ma_v_5_5,ma_v_10_5,ma_v_13_5,ma_v_21_5,ma_v_30_5,ts_code_id,trade_date_id,name,area,industry,market,exchange,list_date,is_hs,is_ST,month,weekday,U-D,open_transform,high_transform,low_transform,pre_close_transform,amount_index_000001,pre_close_index_000001,amount_index_000001_shift_1,amount_index_000001_shift_2,amount_index_000001_shift_3,amount_index_000001_shift_4,amount_index_000001_shift_5,pre_close_index_000001_shift_1,pre_close_index_000001_shift_2,pre_close_index_000001_shift_3,pre_close_index_000001_shift_4,pre_close_index_000001_shift_5,amount_shift_1,amount_shift_2,amount_shift_3,amount_shift_4,amount_shift_5,pre_close_shift_1,pre_close_shift_2,pre_close_shift_3,pre_close_shift_4,pre_close_shift_5
000001.SZ,20120210,5.5256,100000022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.SZ,20120213,5.5223,100000023,0,5.5848,5.5256,5.5617,5.5585,0.0031999999999996,0.0576,-0.23702821013441838,307363.1099,0.5865,0.98,5.54,172850.002,5.5164,238696.204,5.4203,229640.9154,,,,,,,,,-0.008611429715804595,,,,,0.4324271477647681,,,,,0.0,22.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,4.0,,0.0016677543325356891,0.012399390907113419,0.0016677543325356891,0.007631788847799375,82222468.07,2349.589,,0.01652667062124471,0.4154060752866253,0.22162844651554697,0.17043758967519584,,0.025169924368493895,0.007915883071601132,0.008232045502820213,0.01601388247462976,,0.05751370831712213,0.5133468584944122,0.15307493217569396,-0.20945807205479894,,0.01869330156693857,0.004173140152473234,-0.0052969703477030484,-0.0011680143755615363
000001.SZ,20120214,5.4762,100000024,0,5.5289,5.4532,5.4861,5.5617,-0.0755999999999996,-1.3593,0.0671423430748811,359692.3205,0.6926,1.24,5.5196,169870.486,5.5131,201535.326,5.453,227409.1331,,,,,,,,,-0.0023790066285298587,-0.03361580861674596,,,,0.2715679027432596,0.19352233997528884,,,,0.0,23.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,0.0,,0.0016687526074260876,0.002865901217101174,-0.01086503056356675,0.008815367034880634,77715389.643,2351.981,-0.05481565480572647,,-0.03919490445634385,0.3378196644537856,0.15466408329049489,0.0010180503909408326,,0.026213599010778025,0.00894199223039765,0.009258476530903436,0.17025208593518332,,0.2375576230631632,0.7709973178965426,0.34938834461817586,0.0005756948817126289,,0.019279758086685597,0.004751237489612312,-0.004724324904708176
000001.SZ,20120215,5.4565,100000025,0,5.4993,5.4236,5.4598,5.4861,-0.0262999999999999,-0.4794,-0.39390385760321733,179835.1268,0.3495,0.64,5.5045,160018.144,5.5094,179091.125,5.4846,225516.4631,,,,,,,,,0.0017952995792833344,-0.022398723254217205,,,,0.19249682886566752,0.2861637651764979,,,,0.0,24.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,1.0,,-0.006026064544233473,-0.0018332304788181003,-0.015573383671543158,-0.00422913565905541,66294933.778,2351.855,-0.14695230786929053,-0.19371267569394912,,-0.18038743065905832,0.14122397724938193,-5.357186133740184e-05,0.000964423990749053,,0.026158622838149265,0.008887941329892401,-0.5000306746888136,-0.4149098541509779,,-0.3812591501633948,-0.11455566584334495,-0.013592966179405518,-0.013025096698749666,,0.005424722807660642,-0.008906312100299829
000001.SZ,20120216,5.4664,100000026,0,5.5124,5.4105,5.4664,5.4598,0.0065999999999997,0.1209,0.10671349855205876,334137.6801,0.6483,1.26,5.5065,175862.038,5.5088,181895.161,5.5058,223990.8608,,,,,,,,,0.0008346791021755979,-0.014848384363140553,,,,0.06420665236319624,0.23793142759757327,,,,0.0,25.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,2.0,,-0.009493900668022037,0.0006534998547778993,-0.01784417659018299,-0.008894859134475654,87632869.277,2344.771,0.32186374256672085,0.1276128149078035,0.06580198009130381,,0.08341613836374319,-0.0030120904562567982,-0.003065500954301942,-0.002050571397806066,,0.023067740243692854,0.8580223232561482,-0.07104583262850055,0.08711055210467865,,0.14963431130689273,-0.004793933759865841,-0.01832173615980719,-0.017756589007825854,,0.0006047832859892427
000001.SZ,20120217,5.4401,100000027,0,5.4894,5.3809,5.4105,5.4664,-0.0559000000000002,-1.0226,0.4348327778802367,451825.3927,0.8814,1.56,5.4769,196145.958,5.5088,190748.479,5.4975,199915.2077,,,,,,,,,0.011514790549930608,-0.005402248503431212,-0.02258142519670384,,,-0.058240624544782675,0.21372680870791047,0.11935339245830036,,,0.0,26.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,3.0,,-0.007696776067383055,-0.003521638106302658,-0.023217397618356148,-0.007696776067383055,83758449.953,2366.702,-0.044211941888531496,0.26342157959580426,0.07775886266233627,0.018680804882825277,,0.009353152184157873,0.006312889187471254,0.006258979132909663,0.007283401480003645,,0.3522132330743983,1.5124423728546008,0.25614411803935094,0.4700052743707616,,0.0012088354884793797,-0.003590893348644806,-0.017135048636208343,-0.016569218314293477,
000001.SZ,20120220,5.5058,100000028,0,5.4499,5.394,5.4105,5.4105,0.0,0.0,-0.16908648542600213,248573.5197,0.4853,0.77,5.4467,189860.358,5.4933,181355.18,5.4909,185892.2862,,,,,,,,,0.016841155234657068,0.004187513595823425,-0.013025109311292691,,,-0.09841108361688071,0.24022595684010126,0.19050886086129926,,,0.0,27.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,4.0,,-0.009684524784737676,-0.007900533377022777,-0.01807656599858,-0.015072906995794836,65121696.783,2356.86,-0.22250594633088094,-0.2568804682503788,-0.01769723458701661,-0.16204889299084083,-0.20798173161673125,-0.00415852946420804,0.005155727361008789,0.0021281073875728347,0.0020744215195615547,0.003094583776141353,-0.4498460606328822,-0.25607456295977316,0.38223006885882765,-0.30892736504781726,-0.19127080741448466,-0.010226108590663011,-0.009029634785157068,-0.013780281073987086,-0.027185932358811195,-0.02662588827921212
000001.SZ,20120221,5.4203,100000029,0,5.5091,5.4072,5.4105,5.4105,0.0,0.0,0.24021808004346254,372071.6289,0.722,1.18,5.4315,191688.136,5.4756,180779.311,5.4861,189810.7708,,,,,,,,,0.015961301543590087,0.00680198073679049,-0.006070053181734848,,,-0.12843696697259108,0.10298946299866066,0.16533356328950363,,,0.0,28.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,0.0,,0.005515377310249065,0.006118050989845877,-0.012491781722551037,-0.011889108042954226,82306945.828,2357.181,0.26389436845088776,-0.017329644063548137,-0.06077540873579311,0.2415269333192032,0.059081685186063514,0.0001361981619612165,-0.00402289768631631,0.005292627723560149,0.002264595393848695,0.0022109022139208683,0.49682729419066113,-0.176514567548784,0.11352789900452778,1.0689596939189303,0.03441638226468624,0.0,-0.010226108590663011,-0.009029634785157068,-0.013780281073987086,-0.027185932358811195
000001.SZ,20120222,5.4236,100000030,0,5.4401,5.3743,5.4236,5.4105,0.0131000000000005,0.2421,-0.16531096594903735,247188.0928,0.4839,0.78,5.4243,200031.824,5.4644,180024.984,5.4871,187126.6085,5.4056,212238.8248,,,,,,,0.014569897356708238,0.008167858568991165,-0.0004558217554606539,,,-0.2500571435199248,-0.005214434830313321,0.17023082959126096,,,0.0,29.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,1.0,,-0.00807041944220779,-0.004446965815094101,-0.016488544030451743,-0.009863845984920669,74538521.268,2363.597,-0.09438358429960413,0.1446034877804085,-0.11007759444179824,-0.1494227921216396,0.1243471713480412,0.0027218953487238217,0.0028584642278285852,-0.0013119522440932648,0.008028929051067255,0.004992654734241775,-0.33564380189160936,-0.005573509606622798,-0.45291234889906623,-0.26022083852972794,0.3745261962914801,0.0,0.0,-0.010226108590663011,-0.009029634785157068,-0.013780281073987086
000001.SZ,20120223,5.4664,100000031,0,5.4762,5.4072,5.4664,5.4236,0.0427999999999997,0.7891,0.5905187655378594,525337.4361,1.0221,1.59,5.4243,223250.21,5.4654,199556.124,5.4795,192724.6315,5.4285,220309.6238,,,,,,,0.014927812585126718,0.007878303804821397,0.004776780849286206,,,-0.26946220195628573,-0.09709418822856986,0.13958707595627048,,,0.0,30.0,平安银行,深圳,银行,0.0,0.0,19910403.0,0.0,0.0,2.0,2.0,,-0.007648113587294506,0.001976067625425511,-0.010648808870348053,-0.007648113587294506,109092241.265,2381.43,0.4635686274585942,0.32543177453060007,0.6752057555950922,0.3024625136474678,0.24487811668209525,0.007544856420108685,0.01028728807842919,0.010424887350118255,0.006223005684703697,0.01563436258807348,1.1252538103647687,0.41192554146930827,1.1134086878361888,0.16270011510577065,0.5722184817431492,0.0024212180020331867,0.0024212180020331867,0.0024212180020331867,-0.007829650226840283,-0.006630279497417489
