ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399007.SZ,20120104,2644.231,2733.075,2741.571,2644.231,2714.576,-70.345,-2.5914,17066149.84,18395385.7435
399007.SZ,20120105,2579.269,2629.321,2636.982,2571.923,2644.231,-64.962,-2.4567,19131802.77,19120892.716
399007.SZ,20120106,2592.807,2573.787,2593.32,2535.119,2579.269,13.538,0.5249,16685904.43,16944332.2071
399007.SZ,20120109,2689.589,2593.528,2689.589,2564.354,2592.807,96.782,3.7327,23548406.36,25255777.3319
399007.SZ,20120110,2796.099,2687.688,2797.613,2681.485,2689.589,106.51,3.9601,38735116.88,37938905.5054
399007.SZ,20120111,2790.84,2794.357,2807.121,2769.633,2796.099,-5.259,-0.1881,32330610.47,31029764.0038
399007.SZ,20120112,2782.649,2777.092,2823.22,2771.906,2790.84,-8.191,-0.2935,25735307.39,26311663.8465
399007.SZ,20120113,2706.269,2783.39,2793.479,2684.452,2782.649,-76.38,-2.7449,23691548.78,25115975.3042
399007.SZ,20120116,2629.879,2680.025,2699.821,2629.879,2706.269,-76.39,-2.8227,16384613.47,18025781.6687
399007.SZ,20120117,2769.428,2630.208,2772.626,2613.125,2629.879,139.549,5.3063,28206419.07,30077947.9144
399007.SZ,20120118,2714.834,2781.462,2803.586,2704.723,2769.428,-54.594,-1.9713,29258597.19,33228682.4744
399007.SZ,20120119,2758.015,2713.214,2777.146,2698.76,2714.834,43.181,1.5906,23690274.0,26588353.5325
399007.SZ,20120120,2805.954,2768.21,2813.853,2750.801,2758.015,47.939,1.7382,23948160.32,27842727.4595
399007.SZ,20120130,2767.096,2814.071,2814.071,2766.112,2805.954,-38.858,-1.3848,18088186.08,20842207.7086
399007.SZ,20120131,2773.215,2766.816,2775.996,2744.563,2767.096,6.119,0.2211,14073610.69,16036963.2432
399007.SZ,20120201,2745.219,2767.05,2801.165,2738.807,2773.215,-27.996,-1.0095,16021496.77,18555866.2558
399007.SZ,20120202,2799.824,2753.016,2799.824,2744.231,2745.219,54.605,1.9891,18499095.84,21189236.7229
399007.SZ,20120203,2829.208,2793.09,2837.04,2784.493,2799.824,29.384,1.0495,24392047.85,26885016.7999
399007.SZ,20120206,2840.144,2833.973,2856.37,2823.35,2829.208,10.936,0.3865,23261502.09,26728718.7064
399007.SZ,20120207,2786.68,2825.78,2825.78,2767.571,2840.144,-53.464,-1.8824,20582386.29,22389505.4365
399007.SZ,20120208,2869.11,2784.049,2871.732,2775.859,2786.68,82.43,2.958,27000766.63,31342496.8109
399007.SZ,20120209,2880.164,2865.601,2903.097,2854.467,2869.11,11.054,0.3853,34031230.92,35931884.5365
399007.SZ,20120210,2892.665,2874.437,2916.619,2873.99,2880.164,12.501,0.434,31284629.23,32888074.6342
399007.SZ,20120213,2905.614,2859.559,2927.464,2845.924,2892.665,12.949,0.4476,29099011.17,31327564.1271
399007.SZ,20120214,2902.709,2903.492,2911.977,2883.157,2905.614,-2.905,-0.1,26122345.2,28165279.7819
399007.SZ,20120215,2944.061,2896.741,2954.08,2891.256,2902.709,41.352,1.4246,32985759.34,35547645.8839
399007.SZ,20120216,2935.539,2937.971,2964.55,2911.986,2944.061,-8.522,-0.2895,33687481.4,35197712.2092
399007.SZ,20120217,2928.048,2947.921,2958.914,2905.887,2935.539,-7.491,-0.2552,23716950.46,25059884.3267
399007.SZ,20120220,2930.197,2967.287,2973.29,2930.197,2928.048,2.149,0.0734,32917311.11,33114469.6572
399007.SZ,20120221,2962.652,2931.252,2962.652,2902.381,2930.197,32.455,1.1076,28846637.07,28906934.526
399007.SZ,20120222,3021.921,2965.327,3021.921,2963.856,2962.652,59.269,2.0005,44056805.07,45210133.2452
399007.SZ,20120223,3035.246,3021.054,3046.689,3011.212,3021.921,13.325,0.4409,39960615.36,41860270.3652
399007.SZ,20120224,3090.08,3035.365,3091.336,3029.855,3035.246,54.834,1.8066,45899419.79,47790258.1446
399007.SZ,20120227,3103.505,3101.186,3150.937,3101.186,3090.08,13.425,0.4345,53816606.95,58424918.6357
399007.SZ,20120228,3089.651,3093.72,3108.727,3059.701,3103.505,-13.854,-0.4464,42670184.76,44489013.0944
399007.SZ,20120229,3050.433,3078.594,3096.51,3048.277,3089.651,-39.218,-1.2693,32203227.99,35973456.4036
399007.SZ,20120301,3058.134,3037.588,3078.082,3036.862,3050.433,7.701,0.2525,25659249.37,30540279.3144
399007.SZ,20120302,3126.514,3062.706,3126.514,3062.706,3058.134,68.38,2.236,36387681.76,39144758.7076
399007.SZ,20120305,3117.566,3137.378,3150.268,3115.519,3126.514,-8.948,-0.2862,40124174.38,43905199.713
399007.SZ,20120306,3080.027,3107.786,3111.565,3063.334,3117.566,-37.539,-1.2041,34980533.82,39280642.8083
399007.SZ,20120307,3061.48,3048.045,3098.67,3043.652,3080.027,-18.547,-0.6022,32580921.43,36296520.4728
399007.SZ,20120308,3101.908,3072.844,3115.413,3072.844,3061.48,40.428,1.3205,31720335.16,35799692.927
399007.SZ,20120309,3149.711,3111.646,3149.711,3098.629,3101.908,47.803,1.5411,32825323.17,39408922.1388
399007.SZ,20120312,3149.763,3149.977,3161.183,3125.356,3149.711,0.052,0.0017,34683289.23,42094709.0032
