trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000002.SZ,5.7063,5.8438,5.5918,5.5994,5.7063,-0.10689999999999955,-1.8734,474329.58,355989.0931,0.4911,1.45,,,,,,,,,,,,,,
20120105,000002.SZ,5.5841,5.6681,5.4924,5.5383,5.5994,-0.0611000000000006,-1.0912,528117.81,387244.7471,0.5468,1.47,,,,,,,,,,,,,,
20120106,000002.SZ,5.5536,5.5994,5.3931,5.4695,5.5383,-0.06879999999999953,-1.2423,542769.61,389284.1353,0.562,1.34,,,,,,,,,,,,,,
20120109,000002.SZ,5.4695,5.6605,5.4084,5.6605,5.4695,0.19099999999999984,3.4921,846037.78,611933.922,0.8759,1.97,,,,,,,,,,,,,,
20120110,000002.SZ,5.6147,5.8133,5.5918,5.7522,5.6605,0.09170000000000034,1.62,1077976.78,804854.2837,1.1161,2.0,5.604,693846.312,,,,,,,,,,,,
20120111,000002.SZ,5.7293,5.7827,5.6758,5.6987,5.7522,-0.05350000000000055,-0.9301,482934.69,361340.1208,0.5,0.7,5.6238,695567.334,,,,,,,,,,,,
20120112,000002.SZ,5.6681,5.8897,5.6605,5.7445,5.6987,0.04580000000000073,0.8037,559866.64,423747.976,0.5797,0.8,5.6651,701917.1,,,,,,,,,,,,
20120113,000002.SZ,5.7369,5.7751,5.607,5.6987,5.7445,-0.04580000000000073,-0.7973,392238.43,292442.5635,0.4061,0.56,5.7109,671810.864,,,,,,,,,,,,
20120116,000002.SZ,5.6529,5.7751,5.6147,5.6299,5.6987,-0.06879999999999953,-1.2073,337833.92,251290.1735,0.3498,0.5,5.7048,570170.092,,,,,,,,,,,,
20120117,000002.SZ,5.6147,5.8668,5.5154,5.7904,5.6299,0.16049999999999986,2.8508,882229.15,659817.1833,0.9134,1.55,5.7124,531020.566,5.6582,612433.439,,,,,,,,,,
20120118,000002.SZ,5.7751,5.8668,5.7063,5.7369,5.7904,-0.05349999999999966,-0.9239,485527.24,367212.8019,0.5027,0.91,5.7201,531539.076,5.672,613553.205,,,,,,,,,,
20120119,000002.SZ,5.7674,5.9584,5.7369,5.9508,5.7369,0.21389999999999976,3.7285,866994.02,669107.8495,0.8976,1.63,5.7613,592964.552,5.7132,647440.826,,,,,,,,,,
20120120,000002.SZ,5.9584,6.0806,5.9355,6.0348,5.9508,0.08399999999999963,1.4116,896864.73,707734.2635,0.9286,1.51,5.8286,693889.812,5.7697,682850.338,5.7157,644132.3369,,,,,,,,
20120130,000002.SZ,5.9966,6.0195,5.7445,5.7674,6.0348,-0.2673999999999994,-4.431,1053049.88,806433.4561,1.0903,1.52,5.8561,836933.004,5.7804,703551.548,5.7287,688649.2831,,,,,,,,
20120131,000002.SZ,5.7674,5.882,5.7674,5.8438,5.7674,0.07639999999999958,1.3247,355029.38,270555.6204,0.3676,0.42,5.8667,731493.05,5.7896,631256.808,5.7522,675334.7885,,,,,,,,
20120201,000002.SZ,5.8133,5.9202,5.7445,5.7751,5.8438,-0.06869999999999976,-1.1756,500975.91,382524.5009,0.5187,0.68,5.8744,734582.784,5.7972,633060.93,5.7757,672119.8885,,,,,,,,
20120202,000002.SZ,5.798,5.882,5.7216,5.8668,5.7751,0.09169999999999945,1.5879,412731.68,312944.4521,0.4273,0.56,5.8576,643730.316,5.8095,618347.434,5.7915,638788.65,,,,,,,,
20120203,000002.SZ,5.8515,5.9966,5.8133,5.9508,5.8668,0.08400000000000052,1.4318,636448.36,493316.3192,0.6589,0.99,5.8408,591647.042,5.8347,642768.427,5.8068,604824.9254,,,,,,,,
