trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000011.SZ,5.5621,6.0138,5.3407,5.3672,5.4647,-0.09749999999999925,-1.7842,151017.66,96841.1923,10.4039,2.99,,,,,,,,,,,,,,
20120105,000011.SZ,5.0927,5.2964,4.827,4.8358,5.3672,-0.5314000000000005,-9.9009,107478.79,61112.5626,7.4044,1.47,,,,,,,,,,,,,,
20120106,000011.SZ,4.827,4.951,4.7118,4.951,4.8358,0.11519999999999975,2.3822,48634.92,26535.4803,3.3506,0.61,,,,,,,,,,,,,,
20120109,000011.SZ,4.9067,5.1812,4.8978,5.1724,4.951,0.22140000000000004,4.4718,54700.94,31305.2648,3.7685,0.73,,,,,,,,,,,,,,
20120110,000011.SZ,5.1812,5.4027,5.137,5.4027,5.1724,0.23030000000000062,4.4525,65805.89,39317.7548,4.5335,0.83,5.1458,85527.64,,,,,,,,,,,,
20120111,000011.SZ,5.385,5.4204,5.2344,5.3141,5.4027,-0.08860000000000046,-1.6399,57657.04,34742.6356,3.9721,0.67,5.1352,66855.516,,,,,,,,,,,,
20120112,000011.SZ,5.2521,5.8189,5.2521,5.4912,5.3141,0.17710000000000026,3.3326,99883.49,62748.7131,6.8812,1.49,5.2663,65336.456,,,,,,,,,,,,
20120113,000011.SZ,5.4115,5.4558,5.1547,5.2255,5.4912,-0.2656999999999998,-4.8387,61137.54,36623.5543,4.2119,0.94,5.3212,67836.98,,,,,,,,,,,,
20120116,000011.SZ,5.199,5.2432,5.0484,5.0484,5.2255,-0.17710000000000026,-3.3891,24266.5,14136.203,1.6718,0.36,5.2964,61750.092,,,,,,,,,,,,
20120117,000011.SZ,5.0484,5.3938,5.0041,5.3761,5.0484,0.3277000000000001,6.4912,43016.56,25520.3911,2.9635,0.7,5.2911,57192.226,5.2184,71359.933,,,,,,,,,,
20120118,000011.SZ,5.3584,5.4469,5.2698,5.2875,5.3761,-0.08860000000000046,-1.648,47906.37,29012.7057,3.3004,0.84,5.2857,55242.092,5.2105,61048.804,,,,,,,,,,
20120119,000011.SZ,5.3141,5.4204,5.2698,5.3761,5.2875,0.08860000000000046,1.6757,31025.48,18799.3664,2.1374,0.56,5.2627,41470.49,5.2645,53403.473,,,,,,,,,,
20120120,000011.SZ,5.4027,5.5444,5.3495,5.5001,5.3761,0.12399999999999967,2.3065,46990.02,28874.7002,3.2372,1.13,5.3176,38640.986,5.3194,53238.983,5.2575,64578.5538,,,,,,,,
20120130,000011.SZ,5.5001,5.5001,5.3672,5.3761,5.5001,-0.12399999999999967,-2.2545,33884.42,20707.8,2.3344,0.88,5.3832,40564.57,5.3398,51157.331,5.2582,55568.3046,,,,,,,,
20120131,000011.SZ,5.4027,5.4115,5.3318,5.3938,5.3761,0.017699999999999605,0.3292,19179.6,11622.7367,1.3213,0.47,5.3867,35797.178,5.3389,46494.702,5.3012,48776.0592,,,,,,,,
20120201,000011.SZ,5.3761,5.4292,5.2432,5.2521,5.3938,-0.14169999999999927,-2.6271,28959.56,17480.3529,1.9951,0.81,5.3796,32007.816,5.3327,43624.954,5.3243,47262.57,,,,,,,,
20120202,000011.SZ,5.3407,5.4381,5.2521,5.4381,5.2521,0.18599999999999994,3.5414,40930.48,24746.4583,2.8198,1.28,5.392,33988.816,5.3274,37729.653,5.3448,46203.3038,,,,,,,,
