trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20130917,000035.SZ,6.43,6.43,6.34,6.43,6.125,0.3049999999999997,4.9796,73427.13,94364.6802,3.886,0.98,,,,,,,,,,,,,,
20130918,000035.SZ,6.7,6.7,6.11,6.11,6.43,-0.3199999999999994,-4.9767,64139.82,80778.2911,3.3945,0.79,,,,,,,,,,,,,,
20130923,000035.SZ,5.805,5.805,5.805,5.805,6.11,-0.3050000000000006,-4.9918,3079.0,3574.719,0.1629,0.04,,,,,,,,,,,,,,
20130924,000035.SZ,5.515,5.515,5.515,5.515,5.805,-0.29000000000000004,-4.9957,11265.0,12425.295,0.5962,0.14,,,,,,,,,,,,,,
20130925,000035.SZ,5.28,5.475,5.24,5.24,5.515,-0.27499999999999947,-4.9864,99969.46,105692.0731,5.2907,1.69,5.82,50376.082,,,,,,,,,,,,
20130926,000035.SZ,5.14,5.17,4.98,4.98,5.24,-0.2599999999999998,-4.9618,66974.55,67678.1885,3.5445,1.33,5.53,49085.566,,,,,,,,,,,,
20130927,000035.SZ,4.94,5.23,4.93,5.145,4.98,0.16499999999999915,3.3133,100171.5,103070.9207,5.3014,2.04,5.337,56291.902,,,,,,,,,,,,
20130930,000035.SZ,5.15,5.325,5.055,5.14,5.145,-0.004999999999999893,-0.0972,55291.18,57106.4355,2.9262,0.98,5.204,66734.338,,,,,,,,,,,,
20131008,000035.SZ,5.155,5.3,5.06,5.22,5.14,0.08000000000000007,1.5564,45300.91,47293.164,2.3975,0.68,5.145,73541.52,,,,,,,,,,,,
20131009,000035.SZ,5.22,5.24,5.175,5.23,5.22,0.010000000000000675,0.1916,33011.56,34385.7076,1.7471,0.45,5.143,60149.94,5.4815,55263.011,,,,,,,,,,
20131010,000035.SZ,5.255,5.275,5.165,5.19,5.23,-0.040000000000000036,-0.7648,38246.33,39819.2272,2.0241,0.64,5.185,54404.296,5.3575,51744.931,,,,,,,,,,
20131011,000035.SZ,5.2,5.245,5.14,5.2,5.19,0.009999999999999787,0.1927,37115.85,38557.3246,1.9643,0.68,5.196,41793.166,5.2665,49042.534,,,,,,,,,,
20131014,000035.SZ,5.205,5.235,5.16,5.19,5.2,-0.009999999999999787,-0.1923,32801.13,34043.2996,1.7359,0.78,5.206,37295.156,5.205,52014.747,5.415,50830.2631,,,,,,,,
20131015,000035.SZ,5.195,5.315,5.175,5.285,5.19,0.09499999999999975,1.8304,49836.1,52586.5446,2.6375,1.34,5.219,38202.194,5.182,55871.857,5.3269,49015.5685,,,,,,,,
