trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000061.SZ,6.0044,6.0841,5.8344,5.845,5.9247,-0.07969999999999988,-1.3452,39660.85,44454.5469,0.5213,1.01,,,,,,,,,,,,,,
20120105,000061.SZ,5.7547,5.9991,5.5581,5.5793,5.845,-0.2656999999999998,-4.5458,40197.63,43528.4662,0.5284,1.02,,,,,,,,,,,,,,
20120106,000061.SZ,5.5953,5.6856,5.4359,5.489,5.5793,-0.09030000000000005,-1.6185,47169.36,49443.1341,0.62,1.13,,,,,,,,,,,,,,
20120109,000061.SZ,5.505,5.6537,5.3349,5.6484,5.489,0.15939999999999976,2.904,76253.14,78992.8108,1.0023,2.07,,,,,,,,,,,,,,
20120110,000061.SZ,5.6112,5.9779,5.6112,5.9726,5.6484,0.32420000000000027,5.7397,90052.91,98909.5656,1.1837,1.97,5.7069,58666.778,,,,,,,,,,,,
20120111,000061.SZ,6.0044,6.2064,5.9407,6.031,5.9726,0.058399999999999785,0.9778,82850.93,94521.0163,1.089,1.41,5.7441,67304.794,,,,,,,,,,,,
20120112,000061.SZ,6.0097,6.031,5.8875,5.9407,6.031,-0.09030000000000005,-1.4973,45212.16,50666.386,0.5943,0.67,5.8163,68307.7,,,,,,,,,,,,
20120113,000061.SZ,5.9779,6.0151,5.6803,5.7494,5.9407,-0.19130000000000003,-3.2202,35389.68,38759.9109,0.4652,0.52,5.8684,65951.764,,,,,,,,,,,,
20120116,000061.SZ,5.7069,5.7228,5.4093,5.4146,5.7494,-0.33479999999999954,-5.8232,40522.66,42430.4142,0.5326,0.61,5.8217,58805.668,,,,,,,,,,,,
20120117,000061.SZ,5.4146,5.7866,5.3402,5.76,5.4146,0.3453999999999997,6.379,68985.51,72043.8341,0.9068,1.17,5.7791,54592.188,5.743,56629.483,,,,,,,,,,
20120118,000061.SZ,5.7334,5.8131,5.5156,5.5421,5.76,-0.2179000000000002,-3.783,58660.37,62398.011,0.771,1.07,5.6814,49754.076,5.7127,58529.435,,,,,,,,,,
20120119,000061.SZ,5.5793,5.6697,5.5156,5.6378,5.5421,0.09570000000000078,1.7268,31466.26,33181.9394,0.4136,0.63,5.6208,47004.896,5.7186,57656.298,,,,,,,,,,
20120120,000061.SZ,5.7016,5.7281,5.59,5.7228,5.6378,0.08499999999999996,1.5077,54515.49,58266.0407,0.7166,1.16,5.6155,50830.058,5.7419,58390.911,5.7179,54687.4577,,,,,,,,
20120130,000061.SZ,5.7813,5.8025,5.659,5.7441,5.7228,0.021300000000000097,0.3722,38459.77,41562.1543,0.5055,0.76,5.6814,50417.48,5.7515,54611.574,5.7101,54595.0669,,,,,,,,
20120131,000061.SZ,5.7388,5.7441,5.6272,5.6962,5.7441,-0.047900000000000276,-0.8339,26026.61,27810.4688,0.3421,0.52,5.6686,41825.7,5.7239,48208.944,5.7191,53504.9885,,,,,,,,
20120201,000061.SZ,5.7069,5.7494,5.6219,5.6431,5.6962,-0.05310000000000059,-0.9322,33073.49,35363.5569,0.4347,0.79,5.6888,36708.324,5.6851,43231.2,5.731,52420.6908,,,,,,,,
20120202,000061.SZ,5.7228,5.9088,5.7228,5.8291,5.6431,0.18600000000000083,3.2961,97106.21,106173.2579,1.2764,2.65,5.7271,49836.314,5.6739,48420.605,5.7449,54024.7731,,,,,,,,
20120203,000061.SZ,5.8238,5.8822,5.7441,5.8663,5.8291,0.037199999999999456,0.6382,82327.69,90031.3683,1.0821,1.65,5.7558,55398.754,5.6856,53114.406,5.7367,53430.5254,,,,,,,,
20120206,000061.SZ,5.8663,5.9726,5.8185,5.8875,5.8663,0.02120000000000033,0.3614,71879.26,79544.7277,0.9448,1.3,5.7844,62082.652,5.7329,56250.066,5.7257,52586.5508,,,,,,,,
