trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000032.SZ,4.5697,4.5777,4.4016,4.4016,4.6017,-0.20009999999999994,-4.3484,7095.29,3996.4844,0.3048,1.65,,,,,,,,,,,,,,
20120105,000032.SZ,4.4096,4.4096,4.1535,4.1695,4.4016,-0.23209999999999997,-5.2731,5851.77,3108.0137,0.2513,1.3,,,,,,,,,,,,,,
20120106,000032.SZ,4.1695,4.5857,4.1215,4.2735,4.1695,0.10400000000000009,2.4943,8691.51,4607.9348,0.3733,1.85,,,,,,,,,,,,,,
20120109,000032.SZ,4.2415,4.4496,4.2095,4.4496,4.2735,0.17609999999999992,4.1207,7039.65,3849.3091,0.3024,1.23,,,,,,,,,,,,,,
20120110,000032.SZ,4.4016,4.6657,4.4016,4.6337,4.4496,0.18409999999999993,4.1375,12413.49,7070.5826,0.5332,1.89,4.3856,8218.342,,,,,,,,,,,,
20120111,000032.SZ,4.6417,4.7137,4.5616,4.6177,4.6337,-0.016000000000000014,-0.3453,8924.44,5162.9716,0.3833,1.09,4.4288,8584.172,,,,,,,,,,,,
20120112,000032.SZ,4.5616,4.7777,4.5456,4.6737,4.6177,0.05600000000000005,1.2127,8766.52,5097.8809,0.3765,1.02,4.5296,9167.122,,,,,,,,,,,,
20120113,000032.SZ,4.6657,5.0818,4.4896,4.4976,4.6737,-0.17609999999999992,-3.7679,9556.65,5554.582,0.4105,1.04,4.5745,9340.15,,,,,,,,,,,,
20120116,000032.SZ,4.4976,4.5296,4.3536,4.3536,4.4976,-0.14400000000000013,-3.2017,5591.78,3083.3596,0.2402,0.6,4.5553,9050.576,,,,,,,,,,,,
20120117,000032.SZ,4.4496,4.6097,4.3136,4.5937,4.3536,0.24009999999999998,5.515,6736.8,3798.9361,0.2894,0.74,4.5473,7915.238,4.4664,8066.79,,,,,,,,,,
20120118,000032.SZ,4.5697,4.6417,4.4576,4.4816,4.5937,-0.11209999999999987,-2.4403,6022.02,3434.7214,0.2587,0.76,4.52,7334.754,4.4744,7959.463,,,,,,,,,,
20120119,000032.SZ,4.4496,4.5857,4.4496,4.5456,4.4816,0.06400000000000006,1.4281,4030.61,2282.8529,0.1731,0.55,4.4944,6387.572,4.512,7777.347,,,,,,,,,,
20120120,000032.SZ,4.5296,4.6577,4.5296,4.6017,4.5456,0.05609999999999982,1.2342,4746.4,2732.8469,0.2039,0.74,4.5152,5425.522,4.5448,7382.836,4.4841,7343.61,,,,,,,,
20120130,000032.SZ,4.6337,4.6417,4.5697,4.6017,4.6017,0.0,0.0,3420.58,1971.1495,0.1469,0.63,4.5649,4991.282,4.5601,7020.929,4.4995,7060.94,,,,,,,,
20120131,000032.SZ,4.5857,4.6177,4.4976,4.5857,4.6017,-0.016000000000000014,-0.3477,3189.7,1812.8285,0.137,0.64,4.5633,4281.862,4.5553,6098.55,4.5315,6856.1654,,,,,,,,
20120201,000032.SZ,4.5376,4.6257,4.5056,4.5216,4.5857,-0.06409999999999982,-1.3978,3812.24,2173.1642,0.1637,0.89,4.5713,3839.906,4.5456,5587.33,4.5506,6480.8369,,,,,,,,
20120202,000032.SZ,4.5056,4.6417,4.5056,4.6337,4.5216,0.11209999999999987,2.4792,3291.06,1887.7437,0.1414,0.86,4.5889,3691.996,4.5416,5039.784,4.5647,6192.4838,,,,,,,,
20120203,000032.SZ,4.6977,4.8418,4.6977,4.7777,4.6337,0.14400000000000013,3.1077,15514.58,9261.8187,0.6664,4.2,4.6241,5845.632,4.5697,5635.577,4.5758,6431.0292,,,,,,,,
20120206,000032.SZ,4.7217,4.8017,4.7217,4.7697,4.7777,-0.008000000000000007,-0.1674,8533.1,5081.3575,0.3665,1.46,4.6577,6868.136,4.6113,5929.709,4.5875,6400.9262,,,,,,,,
