trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000016.SZ,1.4906,1.5141,1.4342,1.4812,1.4859,-0.0046999999999999265,-0.3163,56148.83,17641.8909,0.936,1.85,,,,,,,,,,,,,,
20120105,000016.SZ,1.4577,1.4859,1.4107,1.4389,1.4812,-0.042300000000000004,-2.8558,43391.18,13350.8528,0.7233,1.2,,,,,,,,,,,,,,
20120106,000016.SZ,1.4154,1.4436,1.3684,1.4201,1.4389,-0.01880000000000015,-1.3066,35392.45,10545.6167,0.59,0.93,,,,,,,,,,,,,,
20120109,000016.SZ,1.4248,1.4765,1.3919,1.4765,1.4201,0.056400000000000006,3.9716,58715.01,18040.1324,0.9787,1.49,,,,,,,,,,,,,,
20120110,000016.SZ,1.4671,1.5424,1.4577,1.533,1.4765,0.056499999999999995,3.8266,77859.76,25116.1768,1.2979,1.74,1.4699,54301.446,,,,,,,,,,,,
20120111,000016.SZ,1.5236,1.5283,1.4765,1.5047,1.533,-0.028299999999999992,-1.8461,70245.75,22458.4871,1.1709,1.29,1.4746,57120.83,,,,,,,,,,,,
20120112,000016.SZ,1.4953,1.533,1.4859,1.5047,1.5047,0.0,0.0,40319.88,12939.0235,0.6721,0.71,1.4878,56506.57,,,,,,,,,,,,
20120113,000016.SZ,1.5189,1.5236,1.4342,1.4342,1.5047,-0.07050000000000001,-4.6853,44357.05,13859.4924,0.7394,0.78,1.4906,58299.49,,,,,,,,,,,,
20120116,000016.SZ,1.4295,1.4342,1.406,1.406,1.4342,-0.028200000000000003,-1.9663,33125.93,9975.976,0.5522,0.57,1.4765,53181.674,,,,,,,,,,,,
20120117,000016.SZ,1.406,1.4812,1.406,1.4765,1.406,0.07050000000000001,5.0142,43927.88,13572.7855,0.7322,0.83,1.4652,46395.298,1.4676,50348.372,,,,,,,,,,
20120118,000016.SZ,1.4812,1.4906,1.4342,1.4389,1.4765,-0.037599999999999856,-2.5466,31364.59,9792.0532,0.5228,0.68,1.4521,38619.066,1.4633,47869.948,,,,,,,,,,
20120119,000016.SZ,1.4436,1.4765,1.4389,1.4577,1.4389,0.018799999999999928,1.3066,25351.27,7865.0171,0.4226,0.66,1.4427,35625.344,1.4652,46065.957,,,,,,,,,,
20120120,000016.SZ,1.4812,1.4859,1.4577,1.4718,1.4577,0.014100000000000001,0.9673,35461.59,11096.671,0.5911,1.0,1.4502,33846.252,1.4704,46072.871,1.4649,45820.09,,,,,,,,
20120130,000016.SZ,1.4765,1.4859,1.453,1.4577,1.4718,-0.014100000000000001,-0.958,25871.88,8067.3797,0.4313,0.76,1.4605,32395.442,1.4685,42788.558,1.4631,43491.0938,,,,,,,,
20120131,000016.SZ,1.4577,1.4624,1.4389,1.4624,1.4577,0.0046999999999999265,0.3224,17523.48,5409.4934,0.2921,0.54,1.4577,27114.562,1.4615,36754.93,1.4649,41501.2708,,,,,,,,
20120201,000016.SZ,1.4624,1.4718,1.4436,1.453,1.4624,-0.009399999999999853,-0.6428,16810.58,5217.0879,0.2802,0.62,1.4605,24203.76,1.4563,31411.413,1.4675,40071.8962,,,,,,,,
20120202,000016.SZ,1.453,1.4765,1.4483,1.4765,1.453,0.023499999999999854,1.6173,29208.5,9068.2505,0.4869,1.21,1.4643,24975.206,1.4535,30300.275,1.4675,37802.1646,,,,,,,,
20120203,000016.SZ,1.4953,1.5471,1.4953,1.533,1.4765,0.056499999999999995,3.8266,105779.59,34212.4909,1.7633,4.24,1.4765,39038.806,1.4633,36442.529,1.4675,39949.8438,,,,,,,,
20120206,000016.SZ,1.5283,1.5377,1.5047,1.5141,1.533,-0.018899999999999917,-1.2329,51746.62,16708.6569,0.8626,1.33,1.4878,44213.754,1.4742,38304.598,1.4682,38526.8338,,,,,,,,
20120207,000016.SZ,1.5047,1.5094,1.4718,1.4906,1.5141,-0.023500000000000076,-1.5521,37176.64,11783.36,0.6197,0.84,1.4934,48144.386,1.4756,37629.474,1.4671,38285.0462,,,,,,,,
20120208,000016.SZ,1.4812,1.5236,1.4812,1.5236,1.4906,0.03300000000000014,2.2139,41716.26,13350.72,0.6954,0.87,1.5076,53125.522,1.484,38664.641,1.474,38081.9085,1.4741,43880.701,,,,,,
20120209,000016.SZ,1.5141,1.5706,1.5047,1.533,1.5236,0.009399999999999853,0.617,73417.48,23983.3859,1.2238,1.38,1.5189,61967.318,1.4916,43471.262,1.4838,41181.2585,1.4765,44703.0176,,,,,,
20120210,000016.SZ,1.5283,1.5471,1.5141,1.5283,1.533,-0.0046999999999999265,-0.3066,52118.9,16974.768,0.8688,0.84,1.5179,51235.18,1.4972,45136.993,1.4877,41811.3369,1.4808,45118.6233,,,,,,
20120213,000016.SZ,1.5189,1.5471,1.5094,1.5283,1.5283,0.0,0.0,46369.14,15114.0477,0.7729,0.91,1.5208,50159.684,1.5043,47186.719,1.4946,42965.5331,1.4859,45641.3229,,,,,,
20120214,000016.SZ,1.5283,1.5377,1.5141,1.533,1.5283,0.0046999999999999265,0.3075,40969.38,13309.7989,0.6829,0.82,1.5292,50918.232,1.5113,49531.309,1.5004,44166.9262,1.4886,44796.2929,,,,,,
20120215,000016.SZ,1.5283,1.5659,1.5283,1.5612,1.533,0.028200000000000003,1.8395,74481.22,24550.6,1.2415,1.46,1.5368,57471.224,1.5222,55298.373,1.5073,47168.4362,1.49,44635.41,,,,,,
20120216,000016.SZ,1.5518,1.5847,1.5377,1.5612,1.5612,0.0,0.0,96876.32,32154.7923,1.6148,1.69,1.5424,62162.992,1.5306,62065.155,1.5152,52630.3162,1.4927,45903.5324,,,,,,
20120217,000016.SZ,1.5659,1.5753,1.5471,1.5518,1.5612,-0.009399999999999853,-0.6021,47656.42,15795.289,0.7944,0.77,1.5471,61270.496,1.5325,56252.838,1.5221,54948.2346,1.4949,46252.8914,,,,,,
20120220,000016.SZ,1.5706,1.627,1.5612,1.5941,1.5518,0.042300000000000004,2.7259,168166.26,57080.183,2.8032,2.74,1.5603,85629.92,1.5405,67894.802,1.533,66590.9792,1.5025,52148.5681,,,,,,
20120221,000016.SZ,1.5847,1.6317,1.58,1.6223,1.5941,0.028200000000000003,1.769,122698.55,41955.949,2.0453,1.43,1.5781,101975.754,1.5537,76446.993,1.5442,73782.5215,1.5128,56413.931,1.4989,54808.2797,,,,
20120222,000016.SZ,1.6129,1.6881,1.6082,1.6599,1.6223,0.037599999999999856,2.3177,170462.75,60180.513,2.8415,1.67,1.5979,121172.06,1.5673,89321.642,1.554,78758.1492,1.5215,62439.401,1.5049,58618.7437,,,,
20120223,000016.SZ,1.6599,1.7022,1.6364,1.7022,1.6599,0.042300000000000004,2.5483,133178.82,47316.935,2.22,1.1,1.6261,128432.56,1.5842,95297.776,1.5684,85022.1646,1.5341,67287.6976,1.5137,61611.665,,,,
20120224,000016.SZ,1.6975,1.7775,1.6834,1.7634,1.7022,0.06120000000000014,3.5953,184233.4,68385.7681,3.071,1.43,1.6684,155747.956,1.6077,108509.226,1.5894,96334.2231,1.5486,74853.5133,1.5251,66573.03,,,,
20120227,000016.SZ,1.7681,1.9044,1.7587,1.7963,1.7634,0.03289999999999993,1.8657,340577.66,132611.0381,5.6771,2.19,1.7088,190230.236,1.6345,137930.078,1.6104,119323.5615,1.5641,89382.85,1.5358,75968.4517,,,,
20120228,000016.SZ,1.7822,1.7869,1.7116,1.7399,1.7963,-0.056400000000000006,-3.1398,174012.37,64536.0553,2.9006,0.91,1.7323,200493.0,1.6552,151234.377,1.6263,127061.63,1.5775,96437.159,1.5427,79173.5387,,,,
20120229,000016.SZ,1.7258,1.754,1.6928,1.7258,1.7399,-0.014100000000000001,-0.8104,90724.17,33327.3942,1.5123,0.45,1.7455,184545.284,1.6717,152858.672,1.6415,130031.2662,1.5901,99922.9062,1.55,79856.1527,,,,
