trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000070.SZ,2.9003,2.9739,2.8391,2.8432,2.8718,-0.02859999999999996,-0.9959,11426.11,8138.4946,0.4807,0.98,,,,,,,,,,,,,,
20120105,000070.SZ,2.8186,2.8677,2.6103,2.6144,2.8432,-0.22880000000000011,-8.0473,14532.0,9770.3772,0.6114,1.52,,,,,,,,,,,,,,
20120106,000070.SZ,2.6021,2.6471,2.5245,2.6307,2.6144,0.016300000000000203,0.6235,13349.47,8461.9447,0.5616,1.33,,,,,,,,,,,,,,
20120109,000070.SZ,2.6389,2.7615,2.5858,2.7533,2.6307,0.12259999999999982,4.6604,19591.3,12930.3798,0.8242,1.75,,,,,,,,,,,,,,
20120110,000070.SZ,2.741,2.8799,2.7369,2.8718,2.7533,0.11850000000000005,4.3039,22606.12,15683.7823,0.9511,1.65,2.7427,16301.0,,,,,,,,,,,,
20120111,000070.SZ,2.8677,2.978,2.8268,2.9003,2.8718,0.028500000000000192,0.9924,24541.69,17477.5169,1.0325,1.51,2.7541,18924.116,,,,,,,,,,,,
20120112,000070.SZ,2.8799,2.9739,2.8513,2.933,2.9003,0.03269999999999973,1.1275,21610.53,15433.5575,0.9092,1.14,2.8178,20339.822,,,,,,,,,,,,
20120113,000070.SZ,2.9249,2.9371,2.7696,2.8146,2.933,-0.11839999999999984,-4.0368,16619.4,11586.4183,0.6992,0.82,2.8546,20993.808,,,,,,,,,,,,
20120116,000070.SZ,2.7737,2.7982,2.6021,2.6185,2.8146,-0.19609999999999994,-6.9672,9955.73,6611.0982,0.4188,0.47,2.8276,19066.694,,,,,,,,,,,,
20120117,000070.SZ,2.6838,2.8105,2.6185,2.7901,2.6185,0.17159999999999975,6.5534,11483.06,7669.1771,0.4831,0.6,2.8113,16842.082,2.777,16571.541,,,,,,,,,,
20120118,000070.SZ,2.7941,2.9003,2.7655,2.7655,2.7901,-0.024599999999999955,-0.8817,16282.39,11306.8396,0.685,0.97,2.7843,15190.222,2.7692,17057.169,,,,,,,,,,
20120119,000070.SZ,2.7655,2.8186,2.7247,2.7696,2.7655,0.004100000000000215,0.1483,8901.44,6039.1227,0.3745,0.59,2.7517,12648.404,2.7847,16494.113,,,,,,,,,,
20120120,000070.SZ,2.7901,2.835,2.7737,2.8105,2.7696,0.04090000000000016,1.4767,9106.64,6265.2716,0.3831,0.72,2.7508,11145.852,2.8027,16069.83,2.7781,15385.0677,,,,,,,,
20120130,000070.SZ,2.8636,2.8677,2.7982,2.8432,2.8105,0.03269999999999973,1.1635,13510.35,9376.2424,0.5684,1.21,2.7958,11856.776,2.8117,15461.735,2.7781,15545.3938,,,,,,,,
20120131,000070.SZ,2.8227,2.8554,2.7982,2.8554,2.8432,0.012199999999999989,0.4291,6749.04,4677.4815,0.2839,0.57,2.8088,10909.972,2.8101,13876.027,2.7967,14946.7046,,,,,,,,
20120201,000070.SZ,2.8595,2.8758,2.8309,2.8513,2.8554,-0.0040999999999997705,-0.1436,9248.66,6465.759,0.3891,0.85,2.826,9503.226,2.8052,12346.724,2.8136,14631.2577,,,,,,,,
20120202,000070.SZ,2.8595,2.9249,2.8595,2.9249,2.8513,0.07359999999999989,2.5813,12504.11,8864.7273,0.5261,1.32,2.8571,10223.76,2.8044,11436.082,2.8268,14086.0892,,,,,,,,
20120203,000070.SZ,2.9044,3.0106,2.9044,2.9902,2.9249,0.06530000000000014,2.2326,20534.39,14962.5712,0.8639,2.01,2.893,12509.31,2.8219,11827.581,2.8359,13926.7254,,,,,,,,
20120206,000070.SZ,2.982,3.0066,2.9453,2.9616,2.9902,-0.028600000000000403,-0.9565,16628.52,12090.1884,0.6996,1.33,2.9167,13132.944,2.8562,12494.86,2.8406,13318.02,,,,,,,,
20120207,000070.SZ,2.9616,3.0066,2.8799,2.8922,2.9616,-0.0693999999999999,-2.3433,15373.46,11042.4062,0.6468,1.17,2.924,14857.828,2.8664,12883.9,2.8375,12838.2454,,,,,,,,
20120208,000070.SZ,2.8677,2.9861,2.8677,2.9861,2.8922,0.0939000000000001,3.2467,15643.16,11286.2356,0.6581,1.05,2.951,16136.728,2.8885,12819.977,2.8507,12763.15,2.8295,14771.3129,,,,,,
20120209,000070.SZ,3.0025,3.0556,2.9657,2.9984,2.9861,0.0123000000000002,0.4119,21971.32,16230.5281,0.9244,1.36,2.9657,18030.17,2.9114,14126.965,2.8799,13687.4262,2.8369,15273.4657,,,,,,
20120210,000070.SZ,2.982,3.0229,2.9494,3.0106,2.9984,0.012199999999999989,0.4069,17551.51,12880.5108,0.7384,0.97,2.9698,17433.594,2.9314,14971.452,2.8969,14154.23,2.8558,15417.2519,,,,,,
20120213,000070.SZ,2.9984,3.125,2.9494,3.1046,3.0106,0.09399999999999986,3.1223,31914.31,23884.4506,1.3427,1.83,2.9984,20490.752,2.9575,16811.848,2.923,15356.6854,2.8784,16301.2919,,,,,,
20120214,000070.SZ,3.0964,3.1128,3.0352,3.0678,3.1046,-0.036799999999999944,-1.1853,16080.36,12085.9109,0.6765,0.78,3.0335,20632.132,2.9788,17744.98,2.9459,15908.91,2.8933,16134.1043,,,,,,
20120215,000070.SZ,3.0801,3.174,3.0433,3.1618,3.0678,0.09399999999999986,3.0641,32277.79,24839.0995,1.358,1.56,3.0686,23959.058,3.0098,20047.893,2.9729,17691.3062,2.9072,16594.66,,,,,,
20120216,000070.SZ,3.174,3.2394,3.1454,3.219,3.1618,0.05719999999999992,1.8091,37204.39,29042.3031,1.5652,1.55,3.1128,27005.672,3.0392,22517.921,3.0018,19513.9246,2.9223,17197.6457,,,,,,
20120217,000070.SZ,3.219,3.2394,3.1209,3.1454,3.219,-0.07359999999999989,-2.2864,24750.23,19205.5431,1.0413,0.92,3.1397,28445.416,3.0548,22939.505,3.0241,20898.6315,2.9324,17347.1552,,,,,,
20120220,000070.SZ,3.1659,3.2353,3.1373,3.1577,3.1454,0.0123000000000002,0.391,19985.16,15588.6004,0.8408,0.7,3.1503,26059.586,3.0744,23275.169,3.0477,21724.5162,2.9488,17507.4295,,,,,,
20120221,000070.SZ,3.1373,3.2026,3.1128,3.2026,3.1577,0.04489999999999972,1.4219,23014.9,17838.3518,0.9683,0.88,3.1773,27446.494,3.1054,24039.313,3.0691,22533.0385,2.9766,18129.2948,2.9163,17831.5847,,,,
20120222,000070.SZ,3.2026,3.2803,3.1863,3.268,3.2026,0.0653999999999999,2.0421,37872.13,30129.8102,1.5933,1.38,3.1985,28565.362,3.1336,26262.21,3.0904,23866.7108,2.9994,19385.9171,2.9304,18713.1187,,,,
20120223,000070.SZ,3.268,3.2884,3.2026,3.2353,3.268,-0.03269999999999973,-1.0006,27720.15,21979.9226,1.1662,0.97,3.2018,26668.514,3.1573,26837.093,3.1115,24719.9131,3.0217,19930.5724,2.9511,19152.7237,,,,
20120224,000070.SZ,3.219,3.2721,3.219,3.2639,3.2353,0.02859999999999996,0.884,21670.79,17238.4868,0.9117,0.81,3.2255,26052.626,3.1826,27249.021,3.1401,25204.3231,3.0453,20538.6367,2.9722,19430.101,,,,
20120227,000070.SZ,3.3088,3.3415,3.2517,3.2517,3.2639,-0.012199999999999989,-0.3738,31562.31,25418.996,1.3279,1.21,3.2443,28368.056,3.1973,27213.821,3.1605,26428.8731,3.0663,21607.9543,2.9889,19829.1347,,,,
20120228,000070.SZ,3.2517,3.2517,3.17,3.1904,3.2517,-0.06130000000000013,-1.8852,26776.9,21008.0064,1.1265,0.94,3.2419,29120.456,3.2096,28283.475,3.1753,26798.5331,3.0828,22239.6948,2.9995,19968.1607,,,,
20120229,000070.SZ,3.1904,3.2394,3.1618,3.174,3.1904,-0.01639999999999997,-0.514,14313.39,11228.4918,0.6022,0.49,3.2231,24408.708,3.2108,26487.035,3.1879,26549.4469,3.098,22599.9019,3.0086,19627.2173,,,,
20120301,000070.SZ,3.17,3.2639,3.1454,3.2435,3.174,0.06950000000000012,2.1897,25517.04,20154.0935,1.0735,1.05,3.2247,23968.086,3.2133,25318.3,3.1985,26057.3492,3.1167,23374.5867,3.0189,19757.4343,,,,
