trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000040.SZ,3.3424,3.3904,3.2367,3.2559,3.3136,-0.057700000000000085,-1.7413,12553.92,4350.6417,0.2705,1.0,,,,,,,,,,,,,,
20120105,000040.SZ,3.2367,3.2463,3.0927,3.1119,3.2559,-0.14400000000000013,-4.4227,10746.73,3538.547,0.2315,0.85,,,,,,,,,,,,,,
20120106,000040.SZ,3.1599,3.1983,3.083,3.1887,3.1119,0.07679999999999998,2.4679,12273.29,4001.4574,0.2644,0.93,,,,,,,,,,,,,,
20120109,000040.SZ,3.1695,3.3136,3.1599,3.304,3.1887,0.11529999999999996,3.6159,13530.88,4612.5424,0.2915,1.0,,,,,,,,,,,,,,
20120110,000040.SZ,3.304,3.4672,3.2847,3.448,3.304,0.14400000000000013,4.3584,42416.57,15027.5928,0.9139,2.98,3.2617,18304.278,,,,,,,,,,,,
20120111,000040.SZ,3.448,3.496,3.4192,3.4768,3.448,0.028799999999999937,0.8353,28087.41,10113.4135,0.6052,1.53,3.3059,21410.976,,,,,,,,,,,,
20120112,000040.SZ,3.4768,3.8226,3.448,3.5345,3.4768,0.057700000000000085,1.6596,53339.13,20040.739,1.1492,2.49,3.3904,29929.456,,,,,,,,,,,,
20120113,000040.SZ,3.5056,3.5537,3.3808,3.3904,3.5345,-0.1440999999999999,-4.077,33387.79,12002.9539,0.7194,1.12,3.4307,34152.356,,,,,,,,,,,,
20120116,000040.SZ,3.3712,3.4,3.2655,3.2655,3.3904,-0.12490000000000023,-3.6839,13312.6,4610.6668,0.2868,0.39,3.423,34108.7,,,,,,,,,,,,
20120117,000040.SZ,3.2847,3.4768,3.2559,3.4576,3.2655,0.19209999999999994,5.8827,25580.2,9041.7785,0.5511,0.75,3.425,30741.426,3.3433,24522.852,,,,,,,,,,
20120118,000040.SZ,3.448,3.5537,3.4192,3.4384,3.4576,-0.019199999999999662,-0.5553,25946.56,9394.1391,0.559,0.84,3.4173,30313.256,3.3616,25862.116,,,,,,,,,,
20120119,000040.SZ,3.4576,3.5441,3.4192,3.5056,3.4384,0.0671999999999997,1.9544,29307.54,10678.3283,0.6314,0.97,3.4115,25506.938,3.4009,27718.197,,,,,,,,,,
20120120,000040.SZ,3.5056,3.6785,3.5056,3.6209,3.5056,0.11529999999999996,3.289,45922.03,17241.202,0.9894,1.8,3.4576,28013.786,3.4442,31083.071,3.3845,26646.5115,,,,,,,,
20120130,000040.SZ,3.6017,3.765,3.5633,3.6113,3.6209,-0.009599999999999831,-0.2651,44218.95,16787.3588,0.9527,1.58,3.5268,34195.056,3.4749,34151.878,3.4118,29082.2831,,,,,,,,
20120131,000040.SZ,3.6017,3.6881,3.5441,3.6113,3.6113,0.0,0.0,27917.03,10469.6987,0.6015,0.82,3.5575,34662.422,3.4912,32701.924,3.4502,30403.0754,,,,,,,,
20120201,000040.SZ,3.6017,3.6305,3.5152,3.5152,3.6113,-0.09609999999999985,-2.6611,17244.77,6433.4211,0.3715,0.5,3.5729,32922.064,3.4951,31617.66,3.4753,30785.4969,,,,,,,,
20120202,000040.SZ,3.5345,3.6017,3.5056,3.5921,3.5152,0.07689999999999975,2.1876,19034.37,7043.1959,0.4101,0.58,3.5902,30867.43,3.5008,28187.184,3.4975,31208.8423,,,,,,,,
20120203,000040.SZ,3.6113,3.7842,3.6017,3.7073,3.5921,0.11520000000000019,3.207,71995.13,27790.0922,1.5512,2.33,3.6074,36082.05,3.5325,32047.918,3.5175,33484.1162,,,,,,,,
20120206,000040.SZ,3.7265,3.7554,3.6401,3.6689,3.7073,-0.03840000000000021,-1.0358,38484.23,14819.7134,0.8292,1.07,3.619,34935.106,3.5729,34565.081,3.5322,34283.8715,,,,,,,,
20120207,000040.SZ,3.6785,3.8034,3.6401,3.6977,3.6689,0.02880000000000038,0.785,76118.65,29524.4731,1.64,2.18,3.6362,44575.43,3.5969,39618.926,3.5448,36036.1423,,,,,,,,
20120208,000040.SZ,3.7073,3.7746,3.6209,3.7554,3.6977,0.05769999999999964,1.5604,61871.32,23836.0391,1.333,1.39,3.6843,53500.74,3.6286,43211.402,3.5729,38227.1831,3.4837,33489.9571,,,,,,
