trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120810,000058.SZ,4.8581,5.2303,4.8581,4.9267,5.3968,-0.4700999999999995,-8.7107,320195.68,162455.4974,5.9483,4.81,,,,,,,,,,,,,,
20120813,000058.SZ,4.7797,4.7797,4.4369,4.4369,4.9267,-0.4898000000000007,-9.9417,247297.97,114758.1494,4.594,2.09,,,,,,,,,,,,,,
20120814,000058.SZ,4.339,4.4075,4.2998,4.388,4.4369,-0.04889999999999972,-1.1021,128592.69,57069.5638,2.3889,0.84,,,,,,,,,,,,,,
20120815,000058.SZ,4.3684,4.4957,4.3194,4.388,4.388,0.0,0.0,90890.37,40977.7395,1.6885,0.57,,,,,,,,,,,,,,
20120816,000058.SZ,4.3488,4.388,4.2312,4.2508,4.388,-0.1372,-3.1267,86377.81,37679.755,1.6046,0.51,4.4781,174670.904,,,,,,,,,,,,
20120817,000058.SZ,4.2508,4.2606,4.1823,4.2312,4.2508,-0.019599999999999618,-0.4611,52767.5,22696.1594,0.9803,0.3,4.339,121185.268,,,,,,,,,,,,
20120820,000058.SZ,4.2117,4.2117,4.0549,4.1333,4.2312,-0.0979000000000001,-2.3138,87120.4,36717.0447,1.6184,0.72,4.2783,89149.754,,,,,,,,,,,,
20120821,000058.SZ,4.1039,4.2214,4.0843,4.1921,4.1333,0.05879999999999974,1.4226,74484.94,31751.5772,1.3837,0.84,4.2391,78328.204,,,,,,,,,,,,
20120822,000058.SZ,4.2019,4.2214,4.1039,4.1137,4.1921,-0.07840000000000025,-1.8702,68061.47,28923.765,1.2644,0.87,4.1842,73762.424,,,,,,,,,,,,
20120823,000058.SZ,4.1235,4.29,4.1039,4.2704,4.1137,0.15670000000000073,3.8092,100577.34,43109.2219,1.8684,1.36,4.1881,76602.33,4.3331,125636.617,,,,,,,,,,
20120824,000058.SZ,4.2117,4.3684,4.2117,4.241,4.2704,-0.02940000000000076,-0.6885,123552.42,54265.2978,2.2952,1.61,4.1901,90759.314,4.2645,105972.291,,,,,,,,,,
20120827,000058.SZ,4.2802,4.2802,4.0843,4.0941,4.241,-0.1468999999999996,-3.4638,57774.32,24387.235,1.0733,0.64,4.1823,84890.098,4.2303,87019.926,,,,,,,,,,
20120828,000058.SZ,4.1039,4.1333,4.0158,4.0549,4.0941,-0.039200000000000124,-0.9575,41117.58,17039.4692,0.7638,0.48,4.1548,78216.626,4.1969,78272.415,4.2862,113754.6531,,,,,,,,
20120829,000058.SZ,4.0647,4.0647,3.9276,3.9276,4.0549,-0.12729999999999997,-3.1394,65272.35,26544.9804,1.2126,0.83,4.1176,77658.802,4.1509,75710.613,4.2094,94145.1662,,,,,,,,
20120830,000058.SZ,3.9178,3.9472,3.6534,3.7513,3.9276,-0.1762999999999999,-4.4887,100247.02,38778.6858,1.8623,1.29,4.0138,77592.738,4.101,77097.534,4.1566,82833.5546,,,,,,,,
20120831,000058.SZ,3.7513,3.8395,3.6827,3.8101,3.7513,0.05879999999999974,1.5675,68420.08,26360.3593,1.271,0.88,3.9276,66566.27,4.0588,78662.792,4.1122,78204.8923,,,,,,,,
20120903,000058.SZ,3.8101,3.859,3.7611,3.8199,3.8101,0.009800000000000253,0.2572,48549.9,18923.7777,0.9019,0.73,3.8728,64721.386,4.0275,74805.742,4.0685,74947.9331,,,,,,,,
20120904,000058.SZ,3.8199,3.8395,3.7219,3.7219,3.8199,-0.09799999999999986,-2.5655,45744.22,17620.8492,0.8498,0.71,3.8062,65646.714,3.9805,71931.67,4.0278,71822.2723,,,,,,,,
20120905,000058.SZ,3.7317,3.8101,3.7023,3.7807,3.7219,0.05879999999999974,1.5798,48383.42,18574.2038,0.8988,0.74,3.7768,62268.928,3.9472,69963.865,3.9932,71485.0354,,,,,,,,
20120906,000058.SZ,3.7807,3.8493,3.7611,3.8395,3.7807,0.058800000000000185,1.5553,55369.38,21510.1841,1.0286,0.89,3.7944,53293.4,3.9041,65443.069,3.9706,69042.6492,,,,,,,,
20120907,000058.SZ,3.8493,4.0354,3.8395,3.9668,3.8395,0.12729999999999997,3.3155,95546.48,38438.1877,1.775,1.79,3.8258,58718.68,3.8767,62642.475,3.9532,70662.7677,4.1114,95540.159,,,,,,
20120910,000058.SZ,3.9766,4.0256,3.9374,3.9864,3.9668,0.019600000000000062,0.4941,65435.73,26621.5922,1.2156,1.11,3.8591,62095.846,3.8659,63408.616,3.9434,70460.7877,4.0666,83408.7329,,,,,,
20120911,000058.SZ,3.9766,4.006,3.9276,4.006,3.9864,0.019600000000000062,0.4917,48368.35,19587.7898,0.8985,0.78,3.9159,62620.672,3.861,64133.693,3.9231,66444.7115,4.0461,73935.8938,,,,,,
20120912,000058.SZ,4.0158,4.1235,3.9864,4.0843,4.006,0.07829999999999959,1.9546,96743.54,40095.1939,1.7972,1.54,3.9766,72292.696,3.8767,67280.812,3.911,64382.49,4.0316,72419.2676,,,,,,
20120913,000058.SZ,4.0745,4.1725,4.0158,4.0158,4.0843,-0.06850000000000023,-1.6772,82177.47,34286.4105,1.5266,1.14,4.0119,77654.314,3.9031,65473.857,3.905,66259.6554,4.0139,72004.3676,,,,,,
20120914,000058.SZ,4.0354,4.0745,3.957,3.9962,4.0158,-0.019599999999999618,-0.4881,49075.98,20057.2774,0.9117,0.63,4.0177,68360.214,3.9217,63539.447,3.9005,66871.84,4.0018,70228.09,,,,,,
20120917,000058.SZ,4.006,4.0354,3.7807,3.7807,3.9962,-0.21550000000000002,-5.3926,48688.44,19446.8421,0.9045,0.71,3.9766,65010.756,3.9178,63553.301,3.8892,65596.1546,3.9803,70033.849,,,,,,
20120918,000058.SZ,3.7611,3.8199,3.7219,3.7807,3.7807,0.0,0.0,30422.08,11752.4218,0.5651,0.47,3.9315,61421.502,3.9237,62021.087,3.8915,60225.0054,3.9635,67333.929,,,,,,
20120919,000058.SZ,3.8101,4.1627,3.7709,4.1627,3.7807,0.3820000000000001,10.1039,270754.41,113868.5525,5.0298,4.41,3.9472,96223.676,3.9619,84258.186,3.9186,75789.1846,3.9621,76680.0943,,,,,,
20120920,000058.SZ,4.2019,4.4369,4.0941,4.0941,4.1627,-0.0686,-1.648,379590.68,164920.9563,7.0516,3.94,3.9629,155706.318,3.9874,116680.316,3.9397,101253.86,3.9612,91514.8186,4.0749,102586.6673,,,,
20120921,000058.SZ,3.9864,3.9962,3.8199,3.9178,4.0941,-0.1762999999999999,-4.3062,170767.31,67951.2789,3.1723,1.1,3.9472,180044.584,3.9825,124202.399,3.9547,110871.0208,3.9444,94857.1981,4.0412,97605.7217,,,,
20120924,000058.SZ,3.8395,3.9276,3.7219,3.8688,3.9178,-0.04900000000000038,-1.2507,85642.38,33599.8967,1.591,0.48,3.9648,187435.372,3.9707,126223.064,3.9615,113737.0946,3.9267,93051.9581,4.0223,92217.202,,,,
20120925,000058.SZ,3.8199,3.8884,3.7513,3.7611,3.8688,-0.1076999999999999,-2.7838,75909.65,29540.7717,1.4102,0.4,3.9609,196532.886,3.9462,128977.194,3.9555,115317.1154,3.9108,93915.5452,4.0014,90461.1007,,,,
