trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000037.SZ,3.64,3.68,3.57,3.59,3.58,0.009999999999999787,0.2793,8893.45,3206.8796,0.2624,1.2,,,,,,,,,,,,,,
20120105,000037.SZ,3.62,3.62,3.43,3.45,3.59,-0.13999999999999968,-3.8997,6356.99,2229.51,0.1876,0.8,,,,,,,,,,,,,,
20120106,000037.SZ,3.45,3.55,3.44,3.52,3.45,0.06999999999999984,2.029,4948.1,1725.231,0.146,0.68,,,,,,,,,,,,,,
20120109,000037.SZ,3.59,3.66,3.5,3.65,3.52,0.1299999999999999,3.6932,10075.73,3630.1542,0.2973,1.5,,,,,,,,,,,,,,
20120110,000037.SZ,3.7,3.81,3.64,3.78,3.65,0.1299999999999999,3.5616,21525.86,8057.0548,0.6352,2.87,3.598,10360.026,,,,,,,,,,,,
20120111,000037.SZ,3.77,3.8,3.7,3.75,3.78,-0.029999999999999805,-0.7937,17489.04,6563.663,0.5161,1.69,3.63,12079.144,,,,,,,,,,,,
20120112,000037.SZ,3.71,3.9,3.71,3.76,3.75,0.009999999999999787,0.2667,24166.38,9258.5027,0.7131,2.0,3.692,15641.022,,,,,,,,,,,,
20120113,000037.SZ,3.76,3.81,3.63,3.63,3.76,-0.1299999999999999,-3.4574,15226.79,5623.2201,0.4493,0.97,3.714,17696.76,,,,,,,,,,,,
20120116,000037.SZ,3.56,3.64,3.53,3.55,3.63,-0.08000000000000007,-2.2039,6047.22,2162.0743,0.1784,0.34,3.694,16891.058,,,,,,,,,,,,
20120117,000037.SZ,3.59,3.78,3.59,3.78,3.55,0.22999999999999998,6.4789,14681.96,5432.2939,0.4332,0.87,3.694,15522.278,3.646,12941.152,,,,,,,,,,
20120118,000037.SZ,3.77,3.81,3.7,3.7,3.78,-0.07999999999999963,-2.1164,14502.3,5440.2548,0.4279,0.93,3.684,14924.93,3.657,13502.037,,,,,,,,,,
20120119,000037.SZ,3.64,3.77,3.64,3.74,3.7,0.040000000000000036,1.0811,7821.88,2920.7091,0.2308,0.52,3.68,11656.03,3.686,13648.526,,,,,,,,,,
20120120,000037.SZ,3.75,3.82,3.71,3.8,3.74,0.05999999999999961,1.6043,11036.12,4176.5652,0.3257,0.95,3.714,10817.896,3.714,14257.328,3.6692,12520.9092,,,,,,,,
20120130,000037.SZ,3.8,3.82,3.74,3.78,3.8,-0.020000000000000018,-0.5263,7740.61,2927.2316,0.2284,0.72,3.76,11156.574,3.727,14023.816,3.6838,12432.2292,,,,,,,,
20120131,000037.SZ,3.8,3.84,3.75,3.83,3.78,0.050000000000000266,1.3228,9340.77,3547.9897,0.2756,0.84,3.77,10088.336,3.732,12805.307,3.7131,12661.7508,,,,,,,,
20120201,000037.SZ,3.84,3.98,3.82,3.83,3.83,0.0,0.0,15114.69,5905.913,0.446,1.5,3.796,10210.814,3.74,12567.872,3.7369,13443.7962,,,,,,,,
20120202,000037.SZ,3.81,3.89,3.81,3.89,3.83,0.06000000000000005,1.5666,7407.99,2856.7301,0.2186,0.73,3.826,10128.036,3.753,10892.033,3.7554,13238.5854,,,,,,,,
20120203,000037.SZ,3.89,3.95,3.86,3.93,3.89,0.040000000000000036,1.0283,14461.16,5669.1958,0.4267,1.43,3.852,10813.044,3.783,10815.47,3.7669,12695.1469,,,,,,,,
20120206,000037.SZ,3.93,3.93,3.88,3.91,3.93,-0.020000000000000018,-0.5089,11424.7,4464.0576,0.3371,1.06,3.878,11549.862,3.819,11353.218,3.7792,12228.6592,,,,,,,,
20120207,000037.SZ,3.91,3.91,3.78,3.81,3.91,-0.10000000000000009,-2.5575,12851.81,4913.9027,0.3792,1.11,3.874,12252.07,3.822,11170.203,3.7831,11358.3077,,,,,,,,
20120208,000037.SZ,3.77,3.91,3.77,3.91,3.81,0.10000000000000009,2.6247,13551.99,5218.5562,0.3999,1.11,3.89,11939.53,3.843,11075.172,3.8046,11229.4769,3.7424,12126.9305,,,,,,
20120209,000037.SZ,3.9,3.98,3.88,3.9,3.91,-0.010000000000000231,-0.2558,15618.63,6155.8179,0.4609,1.31,3.892,13581.658,3.859,11854.847,3.8315,11965.7392,3.7571,12447.1771,,,,,,
20120210,000037.SZ,3.93,3.96,3.89,3.94,3.9,0.040000000000000036,1.0256,14952.6,5885.911,0.4412,1.1,3.894,13679.946,3.873,12246.495,3.8438,11986.5577,3.7805,12856.4919,,,,,,
20120213,000037.SZ,3.9,3.97,3.9,3.96,3.94,0.020000000000000018,0.5076,11324.73,4461.5814,0.3342,0.83,3.904,13659.952,3.891,12604.907,3.8638,11742.1292,3.8014,13160.141,,,,,,
20120214,000037.SZ,4.0,4.01,3.96,3.99,3.96,0.03000000000000025,0.7576,14951.1,5965.4501,0.4412,1.09,3.94,14079.81,3.907,13165.94,3.8831,12290.5308,3.8176,13392.3014,,,,,,
20120215,000037.SZ,3.95,4.07,3.95,4.05,3.99,0.05999999999999961,1.5038,15912.5,6400.1669,0.4695,1.13,3.968,14551.912,3.929,13245.721,3.9023,12665.6369,3.8305,13124.9986,,,,,,
20120216,000037.SZ,4.06,4.15,4.04,4.13,4.05,0.08000000000000007,1.9753,25167.74,10301.7258,0.7426,1.73,4.014,16461.734,3.953,15021.696,3.9292,14006.1854,3.8486,13490.651,,,,,,
20120217,000037.SZ,4.1,4.15,4.01,4.04,4.13,-0.08999999999999986,-2.1792,13312.46,5406.7948,0.3928,0.81,4.034,16133.706,3.964,14906.826,3.9454,14311.7,3.8619,12973.7976,,,,,,
20120220,000037.SZ,4.06,4.12,4.05,4.07,4.04,0.03000000000000025,0.7426,16507.06,6730.3459,0.4871,1.02,4.056,17170.172,3.98,15415.062,3.9638,14418.8054,3.8829,13034.7629,,,,,,
20120221,000037.SZ,4.07,4.11,4.03,4.08,4.07,0.009999999999999787,0.2457,12621.0,5124.2698,0.3724,0.74,4.074,16704.152,4.007,15391.981,3.9785,14819.8062,3.9081,13347.8,3.825,13167.7787,,,,
20120222,000037.SZ,4.09,4.14,4.09,4.13,4.08,0.04999999999999982,1.2255,16463.69,6782.4182,0.4858,0.99,4.09,16814.39,4.029,15683.151,3.9938,14973.8469,3.9248,13432.6443,3.843,13420.12,,,,
20120223,000037.SZ,4.12,4.16,4.07,4.14,4.13,0.009999999999999787,0.2421,14353.47,5915.6826,0.4235,0.85,4.092,14651.536,4.053,15556.635,4.0115,15199.1369,3.9457,13425.5571,3.866,13686.6693,,,,
20120224,000037.SZ,4.13,4.24,4.11,4.2,4.14,0.0600000000000005,1.4493,29745.87,12415.301,0.8777,2.03,4.124,17938.218,4.079,17035.962,4.0415,16498.68,3.9676,14469.5567,3.8887,14513.2617,,,,
20120227,000037.SZ,4.2,4.4,4.15,4.25,4.2,0.04999999999999982,1.1905,37323.62,15985.8989,1.1013,2.08,4.16,22101.53,4.108,19635.851,4.0677,18327.2669,3.989,15721.3424,3.9087,15421.5247,,,,
20120228,000037.SZ,4.2,4.68,4.2,4.68,4.25,0.4299999999999997,10.1176,108133.34,49490.8507,3.1908,4.89,4.28,41203.998,4.177,28954.075,4.1277,25443.7831,4.0319,20501.9486,3.9387,18308.4407,,,,
20120229,000037.SZ,4.66,4.66,4.44,4.44,4.68,-0.23999999999999932,-5.1282,74867.09,33736.382,2.2092,1.82,4.342,52884.678,4.216,34849.534,4.1662,30052.59,4.061,23622.2495,3.9617,20221.0423,,,,
20120301,000037.SZ,4.49,4.52,4.41,4.45,4.44,0.009999999999999787,0.2252,38772.15,17313.3147,1.1441,0.73,4.404,57768.414,4.248,36209.975,4.2038,32163.93,4.0905,24748.7952,3.9847,20707.9013,,,,
