trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120104,000042.SZ,6.2649,6.2875,6.0657,6.1019,6.2242,-0.12230000000000008,-1.9649,3183.03,4345.1336,0.133,0.94,,,,,,,,,,,,,,
20120105,000042.SZ,6.0793,6.0929,5.9163,5.9842,6.1019,-0.11769999999999925,-1.9289,2695.83,3574.248,0.1126,0.76,,,,,,,,,,,,,,
20120106,000042.SZ,5.9254,6.0567,5.9254,6.0567,5.9842,0.07249999999999979,1.2115,2808.01,3732.996,0.1173,0.88,,,,,,,,,,,,,,
20120109,000042.SZ,6.1065,6.2242,5.9571,6.2106,6.0567,0.15390000000000015,2.541,8365.0,11346.1221,0.3495,2.7,,,,,,,,,,,,,,
20120110,000042.SZ,6.2242,6.4686,6.1834,6.4641,6.2106,0.25349999999999984,4.0817,13963.04,19505.6813,0.5833,3.26,6.1635,6202.982,,,,,,,,,,,,
20120111,000042.SZ,6.4188,6.4505,6.3011,6.3554,6.4641,-0.1086999999999998,-1.6816,9172.77,12886.1993,0.3832,1.48,6.2142,7400.93,,,,,,,,,,,,
20120112,000042.SZ,6.3011,6.7719,6.2106,6.5274,6.3554,0.1719999999999997,2.7064,13603.59,19672.2691,0.5683,1.84,6.3228,9582.482,,,,,,,,,,,,
20120113,000042.SZ,6.5274,6.5274,6.2106,6.2785,6.5274,-0.2488999999999999,-3.8132,8303.38,11622.3666,0.3469,0.87,6.3672,10681.556,,,,,,,,,,,,
20120116,000042.SZ,6.1608,6.2739,6.1246,6.1517,6.2785,-0.12680000000000025,-2.0196,3686.24,5049.4916,0.154,0.35,6.3554,9745.804,,,,,,,,,,,,
20120117,000042.SZ,6.1563,6.4414,5.9752,6.4279,6.1517,0.2762000000000002,4.4898,9689.36,13423.2688,0.4048,0.99,6.3482,8891.068,6.2558,7547.025,,,,,,,,,,
20120118,000042.SZ,6.455,6.4641,6.2468,6.3283,6.4279,-0.09960000000000058,-1.5495,8356.01,11739.4211,0.3491,0.94,6.3428,8727.716,6.2785,8064.323,,,,,,,,,,
20120119,000042.SZ,6.2921,6.4867,6.2558,6.4414,6.3283,0.1131000000000002,1.7872,7594.56,10769.1439,0.3173,0.87,6.3256,7525.91,6.3242,8554.196,,,,,,,,,,
20120120,000042.SZ,6.4505,6.5908,6.4097,6.5682,6.4414,0.12680000000000025,1.9685,10642.87,15345.7891,0.4446,1.41,6.3835,7993.808,6.3753,9337.682,6.2997,7851.0531,,,,,,,,
20120130,000042.SZ,6.5682,6.6089,6.3871,6.3916,6.5682,-0.17659999999999965,-2.6887,5696.44,8181.3904,0.238,0.71,6.4315,8395.848,6.3934,9070.826,6.322,8044.3923,,,,,,,,
20120131,000042.SZ,6.4279,6.4686,6.3418,6.4595,6.3916,0.06789999999999985,1.0623,2846.59,4028.9366,0.1189,0.34,6.4378,7027.294,6.393,7959.181,6.3586,8055.9892,,,,,,,,
20120201,000042.SZ,6.3916,6.4958,6.3554,6.4188,6.4595,-0.04070000000000018,-0.6301,3437.61,4878.2146,0.1436,0.49,6.4559,6043.614,6.3993,7385.665,6.3864,8104.42,,,,,,,,
20120202,000042.SZ,6.4731,6.9711,6.4188,6.7492,6.4188,0.3304,5.1474,12033.5,17792.3312,0.5027,1.99,6.5175,6931.402,6.4215,7228.656,6.4278,8386.6123,,,,,,,,
20120203,000042.SZ,6.7719,6.9529,6.6949,6.7809,6.7492,0.03169999999999984,0.4697,11964.85,18051.7264,0.4999,1.73,6.56,7195.798,6.4717,7594.803,6.4522,8232.9054,,,,,,,,
20120206,000042.SZ,6.79,6.8488,6.7085,6.7583,6.7809,-0.02259999999999973,-0.3333,6487.32,9677.1991,0.271,0.9,6.6333,7353.974,6.5324,7874.911,6.4832,8026.3323,,,,,,,,
20120207,000042.SZ,6.7357,6.7674,6.5818,6.5999,6.7583,-0.15840000000000032,-2.3438,5312.73,7801.715,0.222,0.72,6.6614,7847.202,6.5496,7437.248,6.4888,7388.5738,,,,,,,,
20120208,000042.SZ,6.6542,6.8353,6.6089,6.8126,6.5999,0.2126999999999999,3.2228,9586.05,14347.4714,0.4005,1.22,6.7402,9076.89,6.598,7560.252,6.5299,7487.2408,6.4222,7591.8467,,,,,,
20120209,000042.SZ,6.7266,7.0525,6.7266,6.8488,6.8126,0.03620000000000001,0.5314,10746.1,16417.3428,0.449,1.18,6.7601,8819.41,6.6388,7875.406,6.5835,8030.3069,6.4578,7951.9929,,,,,,
20120210,000042.SZ,6.8805,7.1023,6.8805,6.962,6.8488,0.11319999999999997,1.6528,11379.37,17603.3595,0.4754,1.29,6.7963,8702.314,6.6782,7949.056,6.6246,8160.3077,6.5044,8365.4948,,,,,,
20120213,000042.SZ,6.7945,6.8715,6.7176,6.8171,6.962,-0.1448999999999998,-2.0813,11177.85,16785.8694,0.467,1.28,6.8081,9640.42,6.7207,8497.197,6.6622,8377.3723,6.5406,8764.0586,,,,,,
20120214,000042.SZ,6.8126,6.8624,6.704,6.8624,6.8171,0.04530000000000012,0.6645,9408.45,14120.7514,0.3931,0.98,6.8606,10459.564,6.761,9153.383,6.6946,8516.9023,6.5716,8813.7467,,,,,,
20120215,000042.SZ,6.8488,6.8986,6.7583,6.876,6.8624,0.013600000000000279,0.1982,10496.88,15878.6241,0.4385,1.0,6.8733,10641.73,6.8067,9859.31,6.7182,8505.6723,6.5912,8648.6914,,,,,,
20120216,000042.SZ,6.8805,6.9665,6.79,6.8262,6.876,-0.04980000000000029,-0.7243,7499.44,11394.0201,0.3133,0.7,6.8687,9992.398,6.8144,9405.904,6.7517,8644.3646,6.6137,8569.009,,,,,,
20120217,000042.SZ,6.8986,6.9122,6.7538,6.8307,6.8262,0.0045000000000001705,0.0659,5493.67,8286.3172,0.2295,0.55,6.8425,8815.258,6.8194,8758.786,6.7802,8847.9862,6.6281,8182.8224,,,,,,
