trade_date,ts_code,up_limit,down_limit
20120104,000001.SZ,17.15,14.03
20120105,000001.SZ,16.68,13.64
20120106,000001.SZ,16.93,13.85
20120109,000001.SZ,16.89,13.82
20120110,000001.SZ,17.36,14.2
20120111,000001.SZ,17.36,14.2
20120112,000001.SZ,17.36,14.2
20120113,000001.SZ,17.36,14.2
20120116,000001.SZ,17.36,14.2
20120117,000001.SZ,17.36,14.2
20120118,000001.SZ,17.36,14.2
20120119,000001.SZ,17.36,14.2
20120120,000001.SZ,17.36,14.2
20120130,000001.SZ,18.46,15.1
20120131,000001.SZ,18.38,15.04
20120201,000001.SZ,18.3,14.98
20120202,000001.SZ,18.1,14.81
20120203,000001.SZ,18.61,15.23
20120206,000001.SZ,18.69,15.29
20120207,000001.SZ,18.51,15.15
20120208,000001.SZ,18.25,14.93
20120209,000001.SZ,18.59,15.21
20120210,000001.SZ,18.59,15.21
20120213,000001.SZ,18.6,15.22
20120214,000001.SZ,18.35,15.01
20120215,000001.SZ,18.26,14.94
20120216,000001.SZ,18.28,14.96
20120217,000001.SZ,18.1,14.81
20120220,000001.SZ,18.1,14.81
20120221,000001.SZ,18.1,14.81
20120222,000001.SZ,18.14,14.84
20120223,000001.SZ,18.28,14.96
20120224,000001.SZ,18.29,14.97
20120227,000001.SZ,18.56,15.18
20120228,000001.SZ,18.61,15.23
20120229,000001.SZ,18.98,15.53
20120301,000001.SZ,18.81,15.39
20120302,000001.SZ,18.95,15.51
20120305,000001.SZ,19.23,15.73
20120306,000001.SZ,19.0,15.54
20120307,000001.SZ,18.65,15.26
20120308,000001.SZ,18.48,15.12
20120309,000001.SZ,18.73,15.33
20120312,000001.SZ,18.56,15.18
20120313,000001.SZ,18.37,15.03
20120314,000001.SZ,18.54,15.17
20120315,000001.SZ,18.13,14.83
20120316,000001.SZ,17.88,14.63
20120319,000001.SZ,18.04,14.76
20120320,000001.SZ,17.99,14.72
20120321,000001.SZ,17.68,14.46
20120322,000001.SZ,17.71,14.49
20120323,000001.SZ,17.81,14.57
20120326,000001.SZ,17.61,14.41
20120327,000001.SZ,17.64,14.44
20120328,000001.SZ,17.68,14.46
20120329,000001.SZ,17.36,14.2
20120330,000001.SZ,17.13,14.01
20120405,000001.SZ,17.28,14.14
20120406,000001.SZ,17.31,14.17
20120409,000001.SZ,17.59,14.39
20120410,000001.SZ,17.33,14.18
20120411,000001.SZ,17.47,14.29
20120412,000001.SZ,17.41,14.25
20120413,000001.SZ,17.96,14.7
20120416,000001.SZ,17.93,14.67
20120417,000001.SZ,17.8,14.56
20120418,000001.SZ,17.59,14.39
20120419,000001.SZ,17.89,14.63
20120420,000001.SZ,18.0,14.72
20120423,000001.SZ,18.24,14.92
20120424,000001.SZ,18.06,14.78
20120425,000001.SZ,18.44,15.08
20120426,000001.SZ,18.55,15.17
20120427,000001.SZ,18.24,14.92
