trade_date,ts_code,up_limit,down_limit
20120104,000006.SZ,4.51,3.69
20120105,000006.SZ,4.47,3.65
20120106,000006.SZ,4.41,3.61
20120109,000006.SZ,4.4,3.6
20120110,000006.SZ,4.52,3.7
20120111,000006.SZ,4.69,3.83
20120112,000006.SZ,4.68,3.83
20120113,000006.SZ,5.14,4.2
20120116,000006.SZ,4.82,3.94
20120117,000006.SZ,4.7,3.84
20120118,000006.SZ,4.9,4.01
20120119,000006.SZ,4.76,3.9
20120120,000006.SZ,4.85,3.97
20120130,000006.SZ,4.94,4.04
20120131,000006.SZ,4.76,3.9
20120201,000006.SZ,4.83,3.95
20120202,000006.SZ,4.75,3.89
20120203,000006.SZ,4.86,3.98
20120206,000006.SZ,4.94,4.04
20120207,000006.SZ,4.91,4.01
20120208,000006.SZ,4.96,4.06
20120209,000006.SZ,5.03,4.11
20120210,000006.SZ,5.16,4.22
20120213,000006.SZ,5.14,4.2
20120214,000006.SZ,5.06,4.14
20120215,000006.SZ,5.13,4.19
20120216,000006.SZ,5.16,4.22
20120217,000006.SZ,5.1,4.18
20120220,000006.SZ,5.09,4.17
20120221,000006.SZ,5.14,4.2
20120222,000006.SZ,5.2,4.26
20120223,000006.SZ,5.42,4.44
20120224,000006.SZ,5.49,4.49
20120227,000006.SZ,5.93,4.85
20120228,000006.SZ,5.94,4.86
20120229,000006.SZ,5.95,4.87
20120301,000006.SZ,5.8,4.74
20120302,000006.SZ,5.83,4.77
20120305,000006.SZ,6.01,4.91
20120306,000006.SZ,6.03,4.93
20120307,000006.SZ,5.96,4.88
20120308,000006.SZ,5.84,4.78
20120309,000006.SZ,6.03,4.93
20120312,000006.SZ,6.03,4.93
20120313,000006.SZ,5.94,4.86
20120314,000006.SZ,5.91,4.83
20120315,000006.SZ,5.53,4.53
20120316,000006.SZ,5.27,4.31
20120319,000006.SZ,5.38,4.4
20120320,000006.SZ,5.39,4.41
20120321,000006.SZ,5.34,4.37
20120322,000006.SZ,5.34,4.37
20120323,000006.SZ,5.36,4.38
20120326,000006.SZ,5.3,4.34
20120327,000006.SZ,5.83,4.77
20120328,000006.SZ,5.64,4.62
20120329,000006.SZ,5.82,4.76
20120330,000006.SZ,6.04,4.94
20120405,000006.SZ,6.06,4.96
20120406,000006.SZ,6.01,4.91
20120409,000006.SZ,5.97,4.89
20120410,000006.SZ,5.76,4.72
20120411,000006.SZ,5.9,4.82
20120412,000006.SZ,5.93,4.85
20120413,000006.SZ,6.52,5.34
20120416,000006.SZ,6.95,5.69
20120417,000006.SZ,6.92,5.66
20120418,000006.SZ,6.37,5.21
20120419,000006.SZ,6.58,5.38
20120420,000006.SZ,6.6,5.4
20120423,000006.SZ,6.77,5.54
20120424,000006.SZ,6.75,5.53
20120425,000006.SZ,7.07,5.79
20120426,000006.SZ,7.36,6.02
20120427,000006.SZ,7.03,5.75
20120502,000006.SZ,6.99,5.72
20120503,000006.SZ,7.17,5.87
20120504,000006.SZ,7.12,5.82
20120507,000006.SZ,7.03,5.75
20120508,000006.SZ,6.94,5.68
20120509,000006.SZ,6.82,5.58
20120510,000006.SZ,6.8,5.56
20120511,000006.SZ,6.81,5.57
20120514,000006.SZ,6.67,5.45
20120515,000006.SZ,6.67,5.45
20120516,000006.SZ,6.58,5.38
20120517,000006.SZ,6.42,5.26
20120518,000006.SZ,6.49,5.31
20120521,000006.SZ,6.24,5.1
20120522,000006.SZ,6.34,5.18
20120523,000006.SZ,6.55,5.36
20120524,000006.SZ,6.79,5.55
20120525,000006.SZ,6.67,5.45
20120528,000006.SZ,6.74,5.52
20120529,000006.SZ,6.67,5.45
20120530,000006.SZ,6.72,5.5
20120531,000006.SZ,6.79,5.55
20120601,000006.SZ,6.73,5.51
20120604,000006.SZ,6.67,5.45
20120605,000006.SZ,6.42,5.26
20120606,000006.SZ,6.41,5.25
20120607,000006.SZ,6.42,5.26
20120608,000006.SZ,6.48,5.3
20120611,000006.SZ,6.46,5.28
20120612,000006.SZ,6.68,5.46
20120613,000006.SZ,6.82,5.58
20120614,000006.SZ,6.84,5.6
20120615,000006.SZ,6.66,5.45
20120618,000006.SZ,6.71,5.49
20120619,000006.SZ,6.68,5.46
20120620,000006.SZ,6.56,5.36
20120621,000006.SZ,6.51,5.33
20120625,000006.SZ,6.66,5.45
20120626,000006.SZ,6.67,5.45
20120627,000006.SZ,6.39,5.23
20120628,000006.SZ,6.2,5.08
20120629,000006.SZ,6.22,5.09
20120702,000006.SZ,6.28,5.14
20120703,000006.SZ,6.35,5.19
20120704,000006.SZ,6.38,5.22
20120705,000006.SZ,6.49,5.31
20120706,000006.SZ,6.57,5.37
20120709,000006.SZ,6.79,5.55
20120710,000006.SZ,6.49,5.31
20120711,000006.SZ,4.82,3.94
20120712,000006.SZ,4.98,4.08
20120713,000006.SZ,5.13,4.19
20120716,000006.SZ,5.03,4.11
20120717,000006.SZ,4.86,3.98
20120718,000006.SZ,5.03,4.11
20120719,000006.SZ,4.99,4.09
20120720,000006.SZ,5.1,4.18
20120723,000006.SZ,5.09,4.17
20120724,000006.SZ,4.97,4.07
20120725,000006.SZ,4.98,4.08
20120726,000006.SZ,4.86,3.98
20120727,000006.SZ,4.7,3.84
20120730,000006.SZ,4.55,3.73
20120731,000006.SZ,4.51,3.69
20120801,000006.SZ,4.51,3.69
20120802,000006.SZ,4.61,3.77
20120803,000006.SZ,4.4,3.6
20120806,000006.SZ,4.47,3.65
20120807,000006.SZ,4.57,3.74
20120808,000006.SZ,4.69,3.83
20120809,000006.SZ,4.64,3.8
20120810,000006.SZ,4.82,3.94
20120813,000006.SZ,4.83,3.95
20120814,000006.SZ,4.66,3.82
20120815,000006.SZ,4.69,3.83
20120816,000006.SZ,4.55,3.73
20120817,000006.SZ,4.54,3.72
20120820,000006.SZ,4.54,3.72
20120821,000006.SZ,4.5,3.68
20120822,000006.SZ,4.5,3.68
20120823,000006.SZ,4.48,3.66
20120824,000006.SZ,4.54,3.72
20120827,000006.SZ,4.52,3.7
20120828,000006.SZ,4.53,3.71
20120829,000006.SZ,4.46,3.65
20120830,000006.SZ,4.4,3.6
20120831,000006.SZ,4.37,3.57
20120903,000006.SZ,4.41,3.61
20120904,000006.SZ,4.49,3.67
20120905,000006.SZ,4.4,3.6
20120906,000006.SZ,4.42,3.62
20120907,000006.SZ,4.44,3.64
20120910,000006.SZ,4.61,3.77
20120911,000006.SZ,4.61,3.77
20120912,000006.SZ,4.55,3.73
20120913,000006.SZ,4.61,3.77
20120914,000006.SZ,4.54,3.72
20120917,000006.SZ,4.54,3.72
20120918,000006.SZ,4.43,3.63
20120919,000006.SZ,4.44,3.64
20120920,000006.SZ,4.44,3.64
20120921,000006.SZ,4.31,3.53
20120924,000006.SZ,4.33,3.55
20120925,000006.SZ,4.33,3.55
20120926,000006.SZ,4.33,3.55
20120927,000006.SZ,4.22,3.46
20120928,000006.SZ,4.3,3.52
20121008,000006.SZ,4.41,3.61
20121009,000006.SZ,4.35,3.56
20121010,000006.SZ,4.42,3.62
20121011,000006.SZ,4.46,3.65
20121012,000006.SZ,4.39,3.59
20121015,000006.SZ,4.39,3.59
20121016,000006.SZ,4.43,3.63
20121017,000006.SZ,4.42,3.62
20121018,000006.SZ,4.39,3.59
20121019,000006.SZ,4.51,3.69
20121022,000006.SZ,4.59,3.75
20121023,000006.SZ,4.62,3.78
20121024,000006.SZ,4.59,3.75
20121025,000006.SZ,4.58,3.74
20121026,000006.SZ,4.49,3.67
20121029,000006.SZ,4.44,3.64
20121030,000006.SZ,4.42,3.62
20121031,000006.SZ,4.54,3.72
20121101,000006.SZ,4.57,3.74
20121102,000006.SZ,4.73,3.87
20121105,000006.SZ,4.93,4.03
20121106,000006.SZ,4.82,3.94
20121107,000006.SZ,4.71,3.85
20121108,000006.SZ,4.7,3.84
20121109,000006.SZ,4.62,3.78
20121112,000006.SZ,4.6,3.76
20121113,000006.SZ,4.7,3.84
20121114,000006.SZ,4.5,3.68
20121115,000006.SZ,4.42,3.62
20121116,000006.SZ,4.38,3.58
20121119,000006.SZ,4.43,3.63
20121120,000006.SZ,4.44,3.64
20121121,000006.SZ,4.4,3.6
20121122,000006.SZ,4.49,3.67
20121123,000006.SZ,4.41,3.61
20121126,000006.SZ,4.42,3.62
20121127,000006.SZ,4.41,3.61
20121128,000006.SZ,4.24,3.47
20121129,000006.SZ,4.13,3.38
20121130,000006.SZ,4.11,3.37
20121203,000006.SZ,4.25,3.47
20121204,000006.SZ,4.18,3.42
20121205,000006.SZ,4.26,3.48
20121206,000006.SZ,4.47,3.65
20121207,000006.SZ,4.5,3.68
20121210,000006.SZ,4.64,3.8
20121211,000006.SZ,4.62,3.78
20121212,000006.SZ,4.65,3.81
20121213,000006.SZ,4.63,3.79
20121214,000006.SZ,4.6,3.76
20121217,000006.SZ,4.8,3.92
20121218,000006.SZ,4.81,3.93
20121219,000006.SZ,4.7,3.84
20121220,000006.SZ,5.17,4.23
20121221,000006.SZ,5.17,4.23
20121224,000006.SZ,5.05,4.13
20121225,000006.SZ,5.16,4.22
20121226,000006.SZ,5.28,4.32
20121227,000006.SZ,5.32,4.36
20121228,000006.SZ,5.18,4.24
20121231,000006.SZ,5.35,4.37
20130104,000006.SZ,5.45,4.46
20130107,000006.SZ,5.42,4.44
20130108,000006.SZ,5.41,4.43
20130109,000006.SZ,5.59,4.57
20130110,000006.SZ,5.51,4.51
20130111,000006.SZ,5.57,4.55
20130114,000006.SZ,5.36,4.38
20130115,000006.SZ,5.53,4.53
20130116,000006.SZ,5.53,4.53
20130117,000006.SZ,5.41,4.43
20130118,000006.SZ,5.42,4.44
20130121,000006.SZ,5.7,4.66
20130122,000006.SZ,5.92,4.84
20130123,000006.SZ,5.8,4.74
20130124,000006.SZ,6.09,4.99
20130125,000006.SZ,5.83,4.77
20130128,000006.SZ,5.84,4.78
20130129,000006.SZ,6.03,4.93
20130130,000006.SZ,6.12,5.0
20130131,000006.SZ,6.24,5.1
20130201,000006.SZ,6.08,4.98
20130204,000006.SZ,6.09,4.99
20130205,000006.SZ,5.92,4.84
20130206,000006.SZ,6.2,5.08
20130207,000006.SZ,6.22,5.09
20130208,000006.SZ,6.17,5.05
20130218,000006.SZ,6.19,5.07
20130219,000006.SZ,6.13,5.01
20130220,000006.SZ,5.86,4.8
20130221,000006.SZ,5.87,4.81
20130222,000006.SZ,5.63,4.61
20130225,000006.SZ,5.61,4.59
20130226,000006.SZ,5.67,4.64
20130227,000006.SZ,5.5,4.5
20130228,000006.SZ,5.58,4.56
20130301,000006.SZ,5.73,4.69
20130304,000006.SZ,5.7,4.66
20130305,000006.SZ,5.13,4.19
20130306,000006.SZ,5.15,4.21
20130307,000006.SZ,5.14,4.2
20130308,000006.SZ,5.15,4.21
20130311,000006.SZ,5.08,4.16
20130312,000006.SZ,5.08,4.16
20130313,000006.SZ,5.03,4.11
20130314,000006.SZ,4.91,4.01
20130315,000006.SZ,4.91,4.01
20130318,000006.SZ,4.81,3.93
20130319,000006.SZ,4.82,3.94
20130320,000006.SZ,4.94,4.04
20130321,000006.SZ,5.08,4.16
20130322,000006.SZ,5.07,4.15
20130325,000006.SZ,5.17,4.23
20130326,000006.SZ,5.17,4.23
20130327,000006.SZ,5.09,4.17
20130328,000006.SZ,5.12,4.19
20130329,000006.SZ,4.88,4.0
20130401,000006.SZ,4.95,4.05
20130402,000006.SZ,5.09,4.17
20130403,000006.SZ,5.09,4.17
20130408,000006.SZ,5.07,4.15
20130409,000006.SZ,5.06,4.14
20130410,000006.SZ,5.16,4.22
20130411,000006.SZ,5.17,4.23
20130412,000006.SZ,5.26,4.3
20130415,000006.SZ,5.14,4.2
20130416,000006.SZ,5.15,4.21
20130417,000006.SZ,5.31,4.35
20130418,000006.SZ,5.3,4.34
20130419,000006.SZ,5.29,4.33
20130422,000006.SZ,5.37,4.39
20130423,000006.SZ,5.29,4.33
20130424,000006.SZ,5.12,4.19
20130425,000006.SZ,5.12,4.19
20130426,000006.SZ,4.87,3.99
20130502,000006.SZ,4.84,3.96
