trade_date,ts_code,up_limit,down_limit
20120104,000010.SZ,15.36,13.9
20120105,000010.SZ,15.36,13.9
20120106,000010.SZ,15.36,13.9
20120109,000010.SZ,15.36,13.9
20120110,000010.SZ,15.36,13.9
20120111,000010.SZ,15.36,13.9
20120112,000010.SZ,15.36,13.9
20120113,000010.SZ,15.36,13.9
20120116,000010.SZ,15.36,13.9
20120117,000010.SZ,15.36,13.9
20120118,000010.SZ,15.36,13.9
20120119,000010.SZ,15.36,13.9
20120120,000010.SZ,15.36,13.9
20120130,000010.SZ,15.36,13.9
20120131,000010.SZ,15.36,13.9
20120201,000010.SZ,15.36,13.9
20120202,000010.SZ,15.36,13.9
20120203,000010.SZ,15.36,13.9
20120206,000010.SZ,15.36,13.9
20120207,000010.SZ,15.36,13.9
20120208,000010.SZ,15.36,13.9
20120209,000010.SZ,15.36,13.9
20120210,000010.SZ,15.36,13.9
20120213,000010.SZ,15.36,13.9
20120214,000010.SZ,15.36,13.9
20120215,000010.SZ,15.36,13.9
20120216,000010.SZ,15.36,13.9
20120217,000010.SZ,15.36,13.9
20120220,000010.SZ,15.36,13.9
20120221,000010.SZ,15.36,13.9
20120222,000010.SZ,15.36,13.9
20120223,000010.SZ,15.36,13.9
20120224,000010.SZ,15.36,13.9
20120227,000010.SZ,15.36,13.9
20120228,000010.SZ,15.36,13.9
20120229,000010.SZ,15.36,13.9
20120301,000010.SZ,15.36,13.9
20120302,000010.SZ,15.36,13.9
20120305,000010.SZ,15.36,13.9
20120306,000010.SZ,15.36,13.9
20120307,000010.SZ,15.36,13.9
20120308,000010.SZ,15.36,13.9
20120309,000010.SZ,15.36,13.9
20120312,000010.SZ,15.36,13.9
20120313,000010.SZ,15.36,13.9
20120314,000010.SZ,15.36,13.9
20120315,000010.SZ,15.36,13.9
20120316,000010.SZ,15.36,13.9
20120319,000010.SZ,14.6,13.21
20120320,000010.SZ,13.87,12.55
20120321,000010.SZ,13.18,11.92
20120322,000010.SZ,12.52,11.32
20120323,000010.SZ,12.11,10.95
20120326,000010.SZ,12.26,11.1
20120327,000010.SZ,11.84,10.72
20120328,000010.SZ,11.92,10.78
20120329,000010.SZ,11.32,10.24
20120330,000010.SZ,10.75,9.73
20120405,000010.SZ,10.73,9.71
20120406,000010.SZ,10.73,9.71
20120409,000010.SZ,10.94,9.9
20120410,000010.SZ,11.48,10.38
20120411,000010.SZ,11.93,10.79
20120412,000010.SZ,11.92,10.78
20120413,000010.SZ,11.98,10.84
20120416,000010.SZ,12.58,11.38
20120417,000010.SZ,12.73,11.51
20120418,000010.SZ,12.21,11.05
20120419,000010.SZ,12.45,11.27
20120420,000010.SZ,12.42,11.24
20120423,000010.SZ,12.44,11.26
20120424,000010.SZ,11.82,10.7
20120425,000010.SZ,11.28,10.2
20120426,000010.SZ,11.84,10.72
20120427,000010.SZ,11.9,10.76
20120502,000010.SZ,12.48,11.3
20120503,000010.SZ,11.87,10.74
20120504,000010.SZ,11.56,10.46
20120507,000010.SZ,11.63,10.53
20120508,000010.SZ,11.78,10.66
20120509,000010.SZ,11.81,10.69
20120510,000010.SZ,11.81,10.69
20120511,000010.SZ,11.87,10.74
20120514,000010.SZ,12.13,10.97
20120515,000010.SZ,12.06,10.92
20120516,000010.SZ,12.25,11.09
20120517,000010.SZ,12.34,11.16
20120518,000010.SZ,12.34,11.16
20120521,000010.SZ,12.69,11.49
20120522,000010.SZ,12.59,11.39
20120523,000010.SZ,12.53,11.33
20120524,000010.SZ,12.55,11.35
20120525,000010.SZ,12.35,11.17
20120528,000010.SZ,12.55,11.35
20120529,000010.SZ,12.52,11.32
20120530,000010.SZ,12.72,11.5
20120531,000010.SZ,12.75,11.53
20120601,000010.SZ,13.28,12.02
20120604,000010.SZ,13.29,12.03
20120605,000010.SZ,13.95,12.63
20120606,000010.SZ,14.65,13.25
20120607,000010.SZ,14.65,13.25
20120608,000010.SZ,14.65,13.25
20120611,000010.SZ,14.65,13.25
20120612,000010.SZ,14.65,13.25
20120613,000010.SZ,14.65,13.25
20120614,000010.SZ,13.91,12.59
20120615,000010.SZ,14.27,12.91
20120618,000010.SZ,14.63,13.23
20120619,000010.SZ,15.36,13.9
20120620,000010.SZ,14.97,13.55
20120621,000010.SZ,15.05,13.61
20120625,000010.SZ,14.73,13.33
20120626,000010.SZ,14.0,12.66
20120627,000010.SZ,14.39,13.02
20120628,000010.SZ,13.94,12.62
20120629,000010.SZ,14.2,12.84
20120702,000010.SZ,14.49,13.11
20120703,000010.SZ,15.06,13.62
20120704,000010.SZ,14.85,13.43
20120705,000010.SZ,14.75,13.35
20120706,000010.SZ,14.52,13.14
20120709,000010.SZ,14.73,13.33
